SealRangeBelowId|StateWellId|TopDepth|BottomDepth|SealMaterialId|SealMaterialOtherDesc|Amount|SealAmountUnitId|SealAmountUnitOtherDesc|CreatedDate|LastUpdateDate
1|139068|0|20|10||18|10||2016-08-29|2016-08-29
2|139068|200|220|11||4|10||2016-08-29|2016-08-29
3|139070|0|150|2||12|10||2016-08-29|2016-08-29
4|139071|0|15|2||6|2||2016-08-29|2016-08-29
5|139072|0|150|10||16|10||2016-08-29|2016-08-29
6|139073|0|10|10||2|10||2016-08-29|2016-08-29
7|139075|0|10|2||4|2||2016-08-30|2016-08-30
8|139075|200|220|2||2|2||2016-08-30|2016-08-30
9|139079|0|60|10||80|10||2016-09-06|2016-09-06
11|139079|0|643|1|CI A 6% gel||2||2016-09-06|2016-09-06
12|139080|0|60|10||78|10||2016-09-06|2016-09-06
13|139080|0|655|1|826Cl A 6% gel||2||2016-09-06|2016-09-06
18|47972|0|1066|10||200|10||2016-09-06|2016-09-06
21|21972|0|3078|10|||2||2016-09-07|2016-09-07
22|47207|0|1215|10|||2||2016-09-07|2016-09-07
23|46578|||10||150|10||2016-09-07|2016-09-07
24|47948|0|465|10||285|10||2016-09-07|2016-09-07
27|139083|0|84|10||180|10||2016-09-13|2016-09-13
28|139083|0|646|10||815|10||2016-09-13|2016-09-13
30|21975|0|3070|10||1380|10||2016-09-13|2016-09-13
33|139095|0|10|10||95|10||2016-09-15|2016-09-15
34|9411|0|160|10||220|10||2016-09-16|2016-09-16
35|10108|0|20|10||40|10||2016-09-16|2016-09-16
36|10121|0|275|10||380|10||2016-09-16|2016-09-16
37|10394|-1|10|10|||2||2016-09-16|2016-09-16
41|10407|-1|0|10|||2||2016-09-16|2016-09-16
42|10407|0|10|11|||2||2016-09-16|2016-09-16
43|10416|-1|11|2||2.5|12||2016-09-16|2016-09-16
44|10991|-1|0|10|||2||2016-09-16|2016-09-16
45|10991|0|10|11|||2||2016-09-16|2016-09-16
46|11159|0|110|2||5|1|cubic yards|2016-09-16|2016-09-16
47|14453|0|200|10||155|10||2016-09-16|2016-09-16
48|15346|0|136|2||238|2||2016-09-16|2016-09-16
49|15347|0|140|2||244|2||2016-09-16|2016-09-16
50|15704|0|10|2||8|2||2016-09-16|2016-09-16
51|15778|0|15|10||40|10||2016-09-16|2016-09-16
52|15789|0|20|10||40|10||2016-09-16|2016-09-16
53|15816|0|25|10||15|10||2016-09-16|2016-09-16
54|15816|25|50|11||25|10||2016-09-16|2016-09-16
57|139084|0|336|10||16|10||2016-09-16|2016-09-16
58|139084|0|15|10||8|10||2016-09-16|2016-09-16
59|139096|0|10|10||6|10||2016-09-16|2016-09-16
60|139096|50|200|10||10|10||2016-09-16|2016-09-16
61|15851|0|10|2||20|2||2016-09-19|2016-09-19
62|15853|0|10|2||15|2||2016-09-19|2016-09-19
63|15890|0|12|2||24|2||2016-09-19|2016-09-19
64|15909|0|10|2||48|2||2016-09-19|2016-09-19
65|15986|0|12|10||29|10||2016-09-19|2016-09-19
66|16128|3|23|2||14|2||2016-09-19|2016-09-19
67|16450|0|10|10||15|10||2016-09-19|2016-09-19
68|16697|0|10|2||15|2||2016-09-19|2016-09-19
69|16715|0|10|2|||2||2016-09-19|2016-09-19
70|16729|0|21|2||16|2||2016-09-19|2016-09-19
71|16756|2|223|10||5|10||2016-09-19|2016-09-19
72|16775|2|22|10||5|10||2016-09-19|2016-09-19
73|16844|0|11|12||12|10||2016-09-19|2016-09-19
74|17603|0|12|12||37|10||2016-09-19|2016-09-19
75|18784|0|10|2||6|2||2016-09-19|2016-09-19
76|20332|0|26|2||2.5|12||2016-09-19|2016-09-19
77|20333|10|19|2||1.5|12||2016-09-19|2016-09-19
78|20334|10|18|2||1.5|12||2016-09-19|2016-09-19
79|20335|10|19|2||1.5|12||2016-09-19|2016-09-19
80|21630|0|735|2|||2||2016-09-19|2016-09-19
81|21651|0|660|10||315|10||2016-09-20|2016-09-20
82|22607|0|45|2||16|2||2016-09-20|2016-09-20
83|22608|0|42|2||45|2||2016-09-20|2016-09-20
84|22645|0|1080|2||525|2||2016-09-20|2016-09-20
85|22690|0|1400|2||1500|2||2016-09-20|2016-09-20
86|22896|0|1168|2||775|2||2016-09-20|2016-09-20
87|22922|0|1250|10||650|10||2016-09-20|2016-09-20
88|22947|0|1634|10||425|10||2016-09-20|2016-09-20
89|22963|0|1310|2|||2||2016-09-20|2016-09-20
90|22978|0|1310|10||100|10||2016-09-20|2016-09-20
91|23002|0|1000|2||280|2||2016-09-20|2016-09-20
92|23004|0|30|2||55|2||2016-09-20|2016-09-20
93|23004|0|2336|2||850|2||2016-09-20|2016-09-20
94|23019|0|22|2||25|2||2016-09-20|2016-09-20
95|23019|0|1990|2||800|2||2016-09-20|2016-09-20
96|23042|0|1492|2||530|2||2016-09-20|2016-09-20
97|23043|0|30|2||10|2||2016-09-20|2016-09-20
98|23043|0|1480|2||430|2||2016-09-20|2016-09-20
99|23074|1|10|2||25|2||2016-09-20|2016-09-20
100|23084|0|30|10||55|10||2016-09-20|2016-09-20
101|23084|0|1358|10||350|10||2016-09-20|2016-09-20
102|23087|0|1420|2|||2||2016-09-20|2016-09-20
103|23087|1612|1630|10||41|10||2016-09-20|2016-09-20
104|23118|0|978|2||450|2||2016-09-21|2016-09-21
105|23118|1091|1538|2||141|2||2016-09-21|2016-09-21
106|23119|0|2550|2||635|2||2016-09-21|2016-09-21
107|23124|0|1217|10||625|10||2016-09-21|2016-09-21
108|23126|0|2144|10||800|10||2016-09-21|2016-09-21
109|23154|0|1924|10||930|10||2016-09-21|2016-09-21
110|23155|0|1595|10||375|10||2016-09-21|2016-09-21
111|23158|0|1852|10||810|10||2016-09-21|2016-09-21
