WaterLevelRemarkId|WaterLevelId|RemarkId|CreatedDate|LastUpdateDate
1|823826|27||
2|823827|30||
3|594072|2||
4|828267|16||
5|828275|4||
6|828432|30||
7|828437|30||
8|828440|19||
9|828446|4||
10|828447|4||
11|828461|4||
12|829587|4||
13|829750|33||
14|823536|36||
15|823548|27||
16|823556|30||
17|823820|30||
18|823823|27||
19|831607|12||
20|831656|20||
21|831755|30||
22|595217|2||
23|826596|20||
24|828262|16||
25|828266|19||
26|828270|16||
27|828436|30||
28|826135|30||
29|826143|30||
30|826153|20||
31|826578|22||
32|826582|20||
33|826590|2||
34|826599|1||
35|826603|12||
36|827273|20||
37|827275|18||
38|595189|2||
39|595193|2||
40|829742|22||
41|826579|22||
42|601575|2||
43|832158|3||
44|832160|28||
45|833584|29||
46|833597|30||
47|828277|19||
48|828448|4||
49|828464|32||
50|828477|1||
51|741694|12||
52|829744|29||
53|826595|22||
54|826606|22||
55|828263|16||
56|828269|22||
57|828353|2||
58|828435|19||
59|828458|30||
60|828459|30||
61|828492|16||
62|828494|4||
63|834853|1||
64|834855|32||
65|834857|32||
66|831751|2||
67|831756|30||
68|832155|1||
69|832157|23||
70|832159|3||
71|832173|18||
72|831754|30||
73|830873|4||
74|831592|32||
75|831610|32||
76|831655|20||
77|832406|36||
78|832407|1||
79|832530|1||
80|832534|1||
81|832574|20||
82|832577|1||
83|832578|1||
84|836122|20||
85|836126|29||
86|836127|22||
87|836144|20||
88|836355|1||
89|836713|19||
90|836714|19||
91|836719|30||
92|831738|30||
93|831739|30||
94|831740|30||
95|831741|2||
96|831742|29||
97|831757|30||
98|832245|1||
99|832408|1||
100|832409|1||
101|832413|1||
102|595190|2||
103|601576|2||
104|601583|2||
105|601585|2||
106|833586|30||
107|834851|19||
108|834854|1||
109|832410|1||
110|832411|1||
111|832531|1||
112|832532|1||
113|832533|1||
114|832535|1||
115|832575|1||
116|832576|1||
117|833590|30||
118|595194|2||
119|601543|12||
120|601574|2||
121|832579|1||
122|832581|1||
123|836129|22||
124|836132|4||
125|836142|20||
126|836145|12||
127|837692|29||
128|608325|2||
129|840185|19||
130|840186|19||
131|834850|19||
132|834852|1||
133|601578|2||
134|601581|2||
135|601592|4||
136|833588|20||
137|833595|30||
138|836709|19||
139|836712|22||
140|836715|4||
141|836717|10||
142|834835|4||
143|834856|32||
144|836116|36||
145|836118|20||
146|836139|20||
147|836141|20||
148|840801|32||
149|840921|20||
150|840922|30||
151|840928|3||
152|840929|3||
153|841102|30||
154|841122|30||
155|841991|30||
156|841992|30||
157|837522|20||
158|837616|1||
159|837691|12||
160|836113|22||
161|836357|1||
162|836358|1||
163|836708|22||
164|840367|22||
165|836356|1||
166|836359|1||
167|836716|19||
168|836718|4||
169|837690|29||
170|841993|4||
171|844660|1||
172|845629|1||
173|845648|1||
174|845649|1||
175|845651|1||
176|845653|1||
177|845657|1||
178|845664|29||
179|846041|1||
180|846337|1||
181|846338|1||
182|846374|1||
183|846450|2||
184|846451|36||
185|846453|1||
186|846457|1||
187|840384|30||
188|840923|20||
189|840925|3||
190|840926|20||
191|841095|2||
192|841098|2||
193|841099|30||
194|841112|32||
195|841115|19||
196|840184|22||
197|840371|30||
198|840398|19||
199|840400|4||
200|840431|1||
201|840432|1||
202|840433|1||
203|840434|1||
204|841985|1||
205|841994|29||
206|841996|30||
207|840802|29||
208|840919|20||
209|840924|20||
210|840927|19||
211|840931|3||
212|841096|30||
213|841105|2||
