WellBoreHoleCompletionId|StateWellId|BoreHoleCompletionId|BoreHoleCompletionOtherDesc|CreatedDate|LastUpdateDate
1|1525|105|||
2|1561|105|||
3|1563|105|||
4|1596|13|||
5|1597|105|||
6|1620|105|||
7|1625|105|||
8|1630|13|||
9|1638|13|||
10|1650|13|||
11|1671|105|||
12|1675|13|||
13|1679|105|||
14|1685|13|||
15|1689|106|||
16|1691|13|||
17|1700|13|||
18|1702|13|||
19|1707|106|||
20|1713|13|||
21|1719|105|||
22|1720|105|||
23|1740|105|||
24|1750|105|||
25|1755|11|||2016-07-29
26|1758|11|||2016-07-29
27|1772|13|||
28|1774|13|||
29|1778|13|||
30|1781|105|||
31|1782|13|||
32|1786|13|||
33|1793|13|||
34|1794|13|||
35|1795|13|||
36|1797|105|||
37|1804|13|||
38|1811|105|||
39|1817|13|||
40|1819|105|||
41|1821|13|||
42|1831|13|||
43|1845|105|||
44|1846|105|||
45|1847|105|||
46|1856|105|||
47|1857|105|||
48|1867|105|||
49|1887|105|||
50|1889|13|||
51|1891|12|||
52|1899|105|||
53|1904|13|||
54|1926|105|||
55|1929|13|||
56|1931|105|||
57|1934|13|||
58|1936|13|||
59|1944|13|||
60|1946|105|||
61|1968|11|||2016-07-29
62|1971|105|||
63|1974|105|||
64|1977|105|||
65|1990|105|||
66|1994|106|||
67|2001|105|||
68|2012|11|||2016-08-01
69|2051|105|||
70|2059|105|||
71|2063|105|||
72|2065|105|||
73|2075|105|||
74|2079|105|||
75|2091|105|||
76|2093|105|||
77|2102|105|||
78|2106|105|||
79|2114|106|||
80|2116|105|||
81|2118|105|||
82|2139|106|||
83|2146|105|||
84|2149|106|||
85|2151|106|||
86|2159|106|||
87|2163|105|||
88|2169|105|||
89|2172|105|||
90|2180|105|||
91|2184|105|||
92|2195|11|||2016-08-01
93|2208|105|||
94|2211|13|||
95|2222|105|||
96|2248|105|||
97|2256|106|||
98|2266|13|||
99|2285|106|||
100|2295|106|||
101|2299|105|||
102|2309|11|||2016-08-01
103|2311|105|||
104|2321|105|||
105|2323|105|||
106|2326|105|||
107|2331|106|||
108|2334|106|||
109|4610|105|||
110|4612|105|||
111|4620|105|||
112|4622|105|||
113|4632|105|||
114|4641|13|||
115|4644|105|||
116|4649|105|||
117|4651|105|||
118|4652|13|||
119|4672|105|||
120|4678|13|||
121|4680|105|||
122|4683|105|||
123|4688|105|||
124|4690|105|||
125|4697|105|||
126|4699|105|||
127|4702|13|||
128|4706|105|||
129|4711|105|||
130|4713|105|||
131|4716|13|||
132|4718|105|||
133|4727|105|||
134|4741|105|||
135|4748|105|||
136|4754|105|||
137|4759|13|||
138|4769|105|||
139|4775|13|||
140|4785|105|||
141|4789|105|||
142|4793|105|||
143|4795|105|||
144|4811|105|||
145|4837|13|||
146|4844|13|||
147|4846|105|||
148|4851|105|||
149|4853|105|||
150|4856|105|||
151|4866|105|||
152|4872|105|||
153|4873|105|||
154|4876|13|||
155|4882|105|||
156|4883|105|||
157|4885|105|||
158|4903|12|||
159|4906|12|||
160|4911|106|||
161|4913|106|||
162|4921|105|||
163|4952|105|||
164|4958|105|||
165|4963|105|||
166|4965|105|||
167|4967|105|||
168|5041|105|||
169|5050|106|||
170|5058|105|||
171|5067|105|||
172|5070|105|||
173|5103|105|||
174|5105|105|||
175|5112|13|||
176|5124|1|||
177|5126|1|||
178|5139|105|||
179|5141|13|||
180|5147|1|||
181|5149|13|||
182|5163|1|||
183|5186|13|||
184|5219|11|||2016-08-01
185|5221|11|||2016-08-01
186|5230|11|||2016-08-01
187|5232|11|||2016-08-01
188|5244|106|||
189|5256|105|||
190|5268|106|||
191|5272|13|||
192|5286|106|||
193|5288|13|||
194|5292|13|||
195|5299|13|||
196|5302|11|||2016-08-01
197|5305|13|||
198|5307|13|||
199|5309|13|||
200|5310|13|||
201|5313|13|||
202|5335|1|||
203|5337|13|||
204|5340|11|||2016-08-01
205|5341|11|||2016-08-01
206|5350|105|||
207|5352|101|||
208|5371|101|||
209|5379|13|||
210|5381|13|||
211|5388|101|||
212|5396|101|||
213|5401|101|||
214|5405|101|||
215|5407|101|||
216|5410|101|||
217|5413|101|||
218|5415|101|||
219|5418|101|||
220|7661|105|||
221|7666|105|||
222|7678|10|||
223|7719|13|||
224|7720|13|||
225|7726|105|||
226|7734|13|||
227|7735|13|||
228|7741|13|||
229|7744|13|||
230|7745|13|||
231|7756|105|||
232|7763|13|||
233|7770|13|||
234|7772|13|||
235|7773|13|||
236|7778|13|||
237|7780|13|||
