WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
1|139033|10||70|200||2016-06-14|2016-06-14
2|139034|10||330|420|9|2016-06-14|2016-06-14
3|74573|10||125|357||2016-06-15|2016-06-15
4|74574|10||118|360||2016-06-15|2016-06-15
5|139039|10||260|400||2016-06-16|2016-06-16
7|54133|10||452|507||2016-06-29|2016-06-29
8|91632|10||570|820||2016-06-29|2016-06-29
9|139045|10||52|92|16|2016-07-07|2016-07-07
10|139045|10||132|212|16|2016-07-07|2016-07-07
11|102332|10||450|510||2016-07-12|2016-07-12
12|54|10||20|600|#1 Fine|2016-07-14|2016-07-14
13|139049|10||320|475|#3|2016-07-20|2016-07-20
14|56|10||0|363||2016-07-26|2016-07-26
15|115|10||300|600|#1 fine|2016-07-26|2016-07-26
16|125|10||260|400|#1 Fine|2016-07-27|2016-07-27
17|138|10||260|385|#1 Fine|2016-07-27|2016-07-27
18|139|10||20|600|#1 Fine|2016-07-27|2017-06-29
19|151|10||80|560|#1 Fine|2016-07-27|2016-07-27
20|170|10||0|200|#1 fine|2016-07-27|2016-07-27
21|194|10||280|540|#1 Fine|2016-07-27|2016-07-27
22|203|10||300|540|#1 Fine|2016-07-27|2016-07-27
23|238|10||25|600|#1 Fine|2016-07-27|2016-07-27
24|295|10||20|520|#1 Fine KS|2016-07-27|2016-07-27
25|311|10||20|540|#1 Fine KS|2016-07-27|2016-07-27
26|350|10||260|465|#1 fine KS|2016-07-27|2016-07-27
27|512|10||20|680|#1 fine KS|2016-07-27|2016-07-27
28|616|10||300|555|#1 fine KS|2016-07-29|2016-07-29
29|631|10||375|550|8/16|2016-07-29|2016-07-29
30|632|10||360|560|#1 fine|2016-07-29|2016-07-29
31|635|10||351|592|8/16|2016-07-29|2016-07-29
32|652|10||370|551|8/12 silia|2016-07-29|2016-07-29
33|669|10||360|565|#1 fine|2016-07-29|2016-07-29
34|738|10||25|635|#1 fine|2016-07-29|2016-07-29
35|831|10||240|525|#1 fine KS|2016-07-29|2016-07-29
36|906|10||160|580|#1 fine|2016-07-29|2016-07-29
37|919|10||280|470|#1 fine|2016-07-29|2016-07-29
38|958|10||260|555|#1 fine KS|2016-07-29|2016-07-29
39|1199|10||20|510|#1 fine|2016-07-29|2016-07-29
40|1455|10||20|515|#1 fine |2016-07-29|2016-07-29
41|1484|10||20|475|#1 fine|2016-07-29|2016-07-29
42|1487|10||20|450|#1 fine|2016-07-29|2016-07-29
43|1755|10||20|460|#1 |2016-07-29|2016-07-29
44|1758|10||20|405|#1 fine|2016-07-29|2016-07-29
45|1783|10||300|515|#1 fine KS|2016-07-29|2016-07-29
46|1825|10||20|530|#1 fine|2016-07-29|2016-07-29
47|1866|10||180|360|#1 fine|2016-07-29|2016-07-29
48|1914|10||240|420|#1 fine KS|2016-07-29|2016-07-29
49|1919|10||20|530|#1 fine|2016-07-29|2016-07-29
50|1956|10||320|595|#1 fine KS|2016-07-29|2016-07-29
51|1968|10||15|437|#1 fine|2016-07-29|2016-07-29
52|79976|10||180|285|pea|2016-08-01|2016-08-01
53|1976|10||28|290||2016-08-01|2016-08-01
54|2012|10||175|590|#1|2016-08-01|2016-08-01
55|2195|10||25|140||2016-08-01|2016-08-01
56|2263|10||20|635|#1 fine|2016-08-01|2016-08-01
57|2271|10||28|470||2016-08-01|2016-08-01
58|2308|10||430|720|8/12 & 6/9|2016-08-01|2016-08-01
59|2309|10||430|720|8/12 & 6/9|2016-08-01|2016-08-01
60|2479|10||20|365|#1 fine|2016-08-01|2016-08-01
61|2516|10||60|300||2016-08-01|2016-08-01
62|2526|10||20|420|#1 fine|2016-08-01|2016-08-01
63|2575|10||400|600||2016-08-01|2016-08-01
64|2607|10||140|340||2016-08-01|2016-08-01
65|2817|10||15|541|90f/10c|2016-08-01|2016-08-01
66|2906|10||20|260|80% #1, 20% 4|2016-08-01|2016-08-01
67|3033|10||300|420||2016-08-01|2016-08-01
68|3111|10||17|85|80% #1, 20% 4|2016-08-01|2016-08-01
69|3340|10||17|108||2016-08-01|2016-08-01
70|3458|10||20|140||2016-08-01|2016-08-01
71|3475|10||20|585|80/20|2016-08-01|2016-08-01
72|3484|10||23|325|5/16|2016-08-01|2016-08-01
73|3866|10||10|98|1/4|2016-08-01|2016-08-01
74|3998|10||20|67|#1 fine|2016-08-01|2016-08-01
75|4300|10||10|120|.25|2016-08-01|2016-08-01
76|4503|10||20|625|#1 fine|2016-08-01|2016-08-01
77|4525|10||340|532|80/20|2016-08-01|2016-08-01
