WellHoleDiameterId|StateWellId|Diameter|TopDepth|BottomDepth|CreatedDate|LastUpdateDate
2|139012|7|0|284|2016-05-11|2016-05-11
3|139014|8.5|0|255|2016-05-11|2016-05-11
4|139021|8.75|0|540|2016-05-17|2016-05-17
5|139032|9.5|0|10|2016-05-27|2016-05-27
6|139032|7.875|10|305|2016-05-27|2016-05-27
7|72489|12|0|380|2016-06-03|2016-06-03
8|139033|8.5|0|200|2016-06-14|2016-06-14
9|139034|9.875|0|420|2016-06-14|2016-06-14
10|74573|26|0|21|2016-06-15|2016-06-15
11|74573|17.5|21|357|2016-06-15|2016-06-15
12|74574|26|0|20|2016-06-15|2016-06-15
13|74574|17.5|20|260|2016-06-15|2016-06-15
14|139039|12.25|0|400|2016-06-16|2016-06-16
15|139038|18|0|40|2016-06-20|2016-06-20
16|139038|12.75|40|610|2016-06-20|2016-06-20
17|139038|7.875|610|980|2016-06-20|2016-06-20
18|139041|8.75|0|360|2016-06-22|2016-06-22
19|139042|9|0|970|2016-06-22|2016-06-22
20|74359|30|0|13|2016-06-27|2016-06-27
21|74359|22|13|325|2016-06-27|2016-06-27
22|71943|8.5|0|20|2016-06-29|2016-06-29
23|71943|7.875|20|215|2016-06-29|2016-06-29
24|71515|8|0|85|2016-06-29|2016-06-29
25|74807|14.75|0|280|2016-06-29|2016-06-29
26|78986|10|0|23|2016-06-29|2016-06-29
27|78986|8|23|55|2016-06-29|2016-06-29
28|139044|30|0|60|2016-07-06|2016-07-06
29|139044|24|60|730|2016-07-06|2016-07-06
30|139044|12.75|730|2590|2016-07-06|2016-07-06
31|139044|7.625|2590|3500|2016-07-06|2016-07-06
32|97888|10.75|0|390|2016-07-06|2016-07-06
33|97888|7.88|390|710|2016-07-06|2016-07-06
34|139045|24|0|212|2016-07-07|2016-07-07
35|97255|4|0|278|2016-07-12|2016-07-12
36|97271|6.5|0|475|2016-07-12|2016-07-12
37|102332|6.75|0|760|2016-07-12|2016-07-12
38|109369|7.25|0|513|2016-07-12|2016-07-12
39|139046|16|0|18|2016-07-13|2016-07-13
40|139046|8|410|585|2016-07-13|2016-07-13
41|132811|11.875|0|1036|2016-07-13|2016-07-13
42|104108|8.5|0|150|2016-07-13|2016-07-13
43|115390|4|0|320|2016-07-13|2016-07-13
44|130693|6.75|0|230|2016-07-13|2016-07-13
45|132337|6.75|0|305|2016-07-13|2016-07-13
46|137892|15|0|578|2016-07-13|2016-07-13
47|99303|18|0|297|2016-07-13|2016-07-13
48|99303|24|297|543|2016-07-13|2016-07-13
50|54|9|0|600|2016-07-14|2016-07-14
51|51781|7.875|0|820|2016-07-18|2016-07-18
52|51967|40|0|62|2016-07-18|2016-07-18
53|52161|11|0|660|2016-07-18|2016-07-18
54|52161|6.25|660|780|2016-07-18|2016-07-18
55|51117|6.75|0|675|2016-07-19|2016-07-19
56|52682|6.75|0|393|2016-07-19|2016-07-19
57|52682|3.875|393|505|2016-07-19|2016-07-19
58|51195|6.75|0|500|2016-07-19|2016-07-19
59|139049|8|0|475|2016-07-20|2016-07-20
60|55469|6.75|0|380|2016-07-20|2016-07-20
61|139053|7.875|0|400|2016-07-21|2016-07-21
63|55422|9.875|0|752|2016-07-21|2016-07-21
67|139055|9|0|660|2016-07-21|2016-07-21
68|139056|9|0|532|2016-07-21|2016-07-21
69|58865|6.125|0|790|2016-07-21|2016-07-21
70|58865|4.75|790|820|2016-07-21|2016-07-21
71|59196|22|0|25|2016-07-21|2016-07-21
72|59196|17.5|25|420|2016-07-21|2016-07-21
73|59196|24|420|490|2016-07-21|2016-07-21
74|139057|8.75|0|600|2016-07-22|2016-07-22
75|139059|9|0|640|2016-07-22|2016-07-22
76|139059|8|640|1100|2016-07-22|2016-07-22
77|114089|6.75|0|376|2016-07-22|2016-07-22
78|127271|17.5|0|800|2016-07-22|2016-07-22
79|127271|13.5|800|1390|2016-07-22|2016-07-22
80|126377|17.5|0|1008|2016-07-22|2016-07-22
81|126377|14.75|1008|2019|2016-07-22|2016-07-22
82|125500|20|0|630|2016-07-25|2016-07-25
83|125500|17.5|630|708|2016-07-25|2016-07-25
84|125500|12|708|798|2016-07-25|2016-07-25
85|92935|6.75|0|769|2016-07-25|2016-07-25
86|93382|26|0|30|2016-07-25|2016-07-25
87|93382|18|30|460|2016-07-25|2016-07-25
88|93382|6.75|460|475|2016-07-25|2016-07-25
89|93379|15|0|720|2016-07-25|2016-07-25
90|93379|7.875|720|735|2016-07-25|2016-07-25
91|92231|6.5|0|324|2016-07-25|2016-07-25
92|96080|6.5|0|364|2016-07-25|2016-07-25
93|96080|3.875|364|482|2016-07-25|2016-07-25
94|56|25|0|363|2016-07-26|2016-07-26
95|115|9.875|0|600|2016-07-26|2016-07-26
96|132822|7|0|450|2016-07-27|2016-07-27
97|132824|7|0|452|2016-07-27|2016-07-27
98|36637|8.75|0|140|2016-07-27|2016-07-27
100|47604|20|0|1352|2016-07-27|2016-07-27
101|125|9|0|600|2016-07-27|2016-07-27
102|138|9|0|600|2016-07-27|2016-07-27
103|139|9|0|600|2016-07-27|2016-07-27
104|151|9.875|0|560|2016-07-27|2016-07-27
105|170|9|0|600|2016-07-27|2016-07-27
106|194|9|0|540|2016-07-27|2016-07-27
107|203|9|0|540|2016-07-27|2016-07-27
108|238|9|0|600|2016-07-27|2016-07-27
