WellNumbersId|StateWellId|WellReportTrackingNumber|USGSSiteNumber|TCEQSourceId|GCDWellNumber|OwnerWellNumber|PreviousWellNumber|OtherWellNumber|PluggingReportTrackingNumber|CreatedDate|LastUpdateDate
1|6|||||2|| Well #30 in TBWE M-64|||2019-01-24
2|7|||||1||Well #29 in TBWE M-64|||2019-01-24
3|8|||G0560002A||3|||||2017-05-10
4|9|||G0560002B||4|||||2017-05-10
5|10|||G0560002C||5|||||2017-05-10
6|15|||G0560014A||1|||||2017-05-10
7|16||||Da-0753|42|||||
8|17||||Da-0758|48|||||
9|31||||Da-3227|1|||||
10|41||||Da-0983||||||
11|42|110732|||||||||
12|44|97963|||Ha-2265||||||
13|48||||Da-1262||||||
14|50||||Da-2957||||||
15|54|210522|||Da-3587||||||
16|56|180462||G0560002D||6|||||2017-05-10
17|67||||Da-1246||||||
18|86||||Da-2988||||||
19|87||||Da-2845|6|||||
20|92||||Da-1211|#4|||||
21|93|||||Tr-J test hole #5|||||
22|115|171710|||DA-3196||||||
23|116||||Da-3191|5|||||
24|117||||Da-1196||||||
25|125|222624|||Da-3589||||||
26|127||||Da-3226||||||
27|138|222634|||Da-3591||||||
28|139|185488|||DA-3231||||||
29|141||||Da-1173||||||
30|150|||||Tr-J test hole #3|||||
31|151|171393|||DA-3197||||||
32|156|||||Tr-J Test hole #4.|||||
33|163||||Da-3225|39|||||
34|166|||||Tr-J test hole #8|||||
35|170|222628|||Da-3590||||||
36|177||||Da-3224||||||
37|194|178259|||DA-3208||||||
38|196||||Sh-1179||||||
39|202|134308|||||||||
40|203|178255|362308102132801||DA-3209||||||
41|205||||Sh-0521||||||
42|213||||Sh-0582||||||
43|219||||Sh-0366||||||
44|232|||||Tr-J test hole #2|||||
45|237||||Da-1265||||||
46|238|210569|||Da-3588||||||
47|245||||Da-3223||||||
48|246|||||Tr-J Test hole #1|||||
49|249||||Da-0230|23|||||
50|268||||Da-3222||||||
51|271||||Da-1218|34|||||
52|273|||||Tr-J test hole #6|||||
53|281||||Da-3221||||||
54|286||||Da-3220|Sec 62 WM|||||
55|287|||||Tr-J Test hole #7|||||
56|288||||Da-3219|87|||||
57|295|339749|||Willard 3||||||
58|305||361750102140501|||Unit 95|||||
59|311|339735|||Willard 1||||||
60|315||||Sh-0515||||||
61|321||||Sh-1425||||||
62|332||||Sh-0106||||||
63|345|||||3|||||
64|350|251257|||SH-4136||||||
65|370||||Sh-0207||||||
66|374||||Da-0781|37|||||
67|377||||Da-2462|3|||||
68|380||||Da-0867|1|||||
69|392||||Da-0947||||||
70|396|||||Tr-J test hole #11|||||
71|397||||Da-0901|2|||||
72|404||||Da-0789||||||
73|423||||Da-0019|7|||||
74|437||||Da-3218||||||
75|441|||||Tr-J test hole #9|||||
76|464||||Da-0116||||||
77|471||||Da-0646||||||
78|476|94460|||||||||
79|482||||Da-0493|2|||||
80|484||||Da-0480||||||
81|486|86884|||||||||
82|487||||Da-0527||||||
83|493||||Da-3215||||||
84|495|38674|||||||||
85|496||||Da-3214||||||
86|499||||Da-0378||||||
87|505||||Da-0315||||||
88|507||||Da-0301||||||
89|511|79518|||||||||
90|512|339722|||Willard 2||||||
91|513||||Sh-0388||||||
92|524||||Da-0276||||||
93|528|354759|||SH-7556||||||2016-06-17
94|529||||Sh-0556||||||
95|533||||Sh-0222||||||
96|546||||Sh-0093||||||
97|558||||Sh-0578||||||
98|571|97811|||Da-2855||||||
99|572|97929|||||||||
100|573|97805|||Da-2853||||||
101|575||||Ha-0787||||97218||2017-07-06
102|576|97940|||||||35223||2020-03-10
103|577|97959|||Ha-2278||||||2017-08-22
104|579|97905|||||||||
