WellOtherDataId|StateWellId|OtherDataAvailableId|CreatedDate|LastUpdateDate
8|5491|1||
9|5616|3||
10|5632|3||
11|5646|3||
13|5678|3||
17|6968|3||
19|7297|3||
20|7388|3||
22|7425|3||
23|7449|3||
24|7452|3||
25|7455|3||
27|8367|1||
30|9798|3||
32|11367|3||
35|20557|3||
36|20570|3||
37|20580|3||
38|20645|3||
39|20763|3||
40|20797|1||
42|22689|3||
43|22740|1||
44|22742|1||
45|22743|1||
46|22750|3||
47|22762|1||
48|22865|1||
49|22869|27||
50|22875|1||
51|22877|3||
52|22895|3||
54|23021|1||
65|24190|3||
68|24290|3||
71|24335|3||
73|24485|3||
76|24498|3||
77|24554|1||
80|24652|3||
81|24663|3||
84|24777|3||
86|26513|1||
87|26514|1||
88|26620|3||
89|27034|3||
90|27065|1||
91|28856|3||
92|29302|3||
93|29364|3||
94|29436|3||
95|29437|3||
96|36252|3||
97|39144|3||
98|39539|3||
99|39657|1||
100|46121|2||
101|46121|3||
102|46179|3||
103|46181|3||
104|46189|3||
105|46226|3||
106|46238|2||
107|46238|3||
108|46296|3||
111|46883|1||
112|49059|1||
113|49169|1||
114|49244|1||
115|49341|3||
116|49371|1||
118|49387|1||
119|49405|3||
120|49607|3||
121|49694|3||
122|52278|1||
123|52428|3||
124|52553|3||
126|52566|3||
127|52627|3||
128|52641|1||
129|52644|3||
130|52821|3||
131|52827|3||
132|52830|1||
134|52924|1||
135|53021|3||
139|55420|1||
140|55421|1||
141|55427|1||
142|55431|1||
143|55450|1||
144|55452|3||
145|55572|1||
153|55723|1||
154|55731|1||
155|55852|3||
156|55853|3||
157|55900|3||
158|55922|2||
159|55922|3||
160|55944|1||
161|55984|3||
162|56050|3||
163|56056|1||
164|56061|3||
165|56067|1||
168|58454|1||
169|58570|1||
172|58663|1||
173|58676|1||
174|61473|2||
175|61473|3||
176|61496|3||
177|62208|3||
178|69205|1||
179|69252|1||
180|69259|1||
181|69261|1||
182|71572|3||
183|71723|3||
184|71985|1||
185|72059|3||
186|72072|1||
187|72076|3||
188|72106|3||
189|72128|3||
190|72333|3||
191|72395|3||
192|72406|3||
193|74787|1||
194|74876|3||
195|74917|3||
196|74936|3||
198|74998|1||
199|75017|3||
200|75183|3||
201|75220|1||
202|75256|1||
204|75391|1||
205|75519|3||
207|78270|3||
208|78339|3||
209|78483|1||
210|78569|1||
211|78609|3||
212|78609|4||
213|78633|1||
214|78747|3||
215|78747|4||
216|78765|3||
217|78792|3||
218|78881|3||
219|78897|3||
220|78897|4||
221|81890|3||
222|81986|27||
223|82003|27||
224|82011|27||
226|85898|3||
228|85934|3||
229|85936|3||
230|88816|3||
231|88922|1||
232|88935|3||
233|88955|3||
234|88994|1||
235|89029|1||
236|89040|1||
237|89063|3||
238|89082|3||
239|89103|3||
240|89144|3||
241|89170|3||
242|89229|3||
243|89235|3||
244|89286|3||
245|89359|3||
246|91885|1||
248|91949|1||
252|92019|3||
253|92109|1||
255|92115|3||
256|92123|1||
257|92130|3||
258|92143|3||
259|92181|3||
260|92288|3||
261|92291|3||
262|92307|3||
263|92329|2||
264|92329|3||
265|92340|3||
266|92376|1||
267|92445|3||
268|92452|1||
269|92488|1||
270|94787|3||
272|94889|1||
273|94899|1||
275|95039|3||
277|95051|1||
280|95302|1||
281|95365|3||
282|98616|1||
285|98981|3||
286|98987|3||
287|98989|3||
290|99063|3||
291|99070|3||
293|99136|3||
294|99137|3||
295|99152|3||
296|101556|3||
297|101947|1||
298|101969|1||
300|731|3||
301|1155|3||
303|4789|3||
305|5070|3||
307|5292|1||
308|5309|1||
310|5313|3||
311|6277|3||
312|6297|3||
313|6788|3||
314|16788|1||
315|19169|3||
316|19337|1||
317|19343|1||
318|19352|1||
319|19608|1||
320|19617|1||
321|19620|1||
322|19622|1||
323|21840|3||
324|21842|3||
325|22017|3||
326|22070|1||
327|22142|1||
328|22175|3||
329|22355|3||
330|22362|3||
331|22366|3||
332|22384|1||
333|22387|1||
339|27669|1||
340|27882|1||
348|5611|3||
349|5613|3||
350|5619|3||
351|5628|3||
352|5647|3||
356|6211|1||
357|7454|3||
359|8306|1||
360|8307|1||
361|8310|3||
362|8313|3||
363|8369|1||
364|8397|3||
367|11345|3||
369|15039|1||
370|17718|3||
374|20539|3||
375|20603|3||
376|20661|1||
377|20749|3||
378|20865|1||
382|22692|3||
383|22701|3||
385|22726|3||
386|22739|1||
387|22744|1||
388|22745|3||
389|22748|3||
390|22829|1||
391|22862|3||
393|22864|3||
394|22866|1||
395|22867|1||
396|22868|1||
398|22938|3||
402|23016|1||
403|23017|1||
404|23028|1||
405|23060|1||
413|23288|3||
418|24291|3||
419|24300|1||
422|24648|3||
423|24709|3||
424|24715|1||
425|24716|3||
432|26609|1||
433|26609|2||
434|26617|1||
435|26618|1||
436|27066|1||
437|27067|1||
438|27076|3||
439|27077|3||
440|27078|3||
441|28721|1||
442|28732|1||
443|29029|1||
444|29242|3||
445|29300|3||
446|29301|3||
447|29438|3||
449|32945|3||
450|32946|3||
451|35470|1||
452|35471|1||
453|39488|1||
454|39490|1||
455|39648|3||
456|39748|3||
457|39749|3||
458|39775|1||
459|46165|3||
460|46190|3||
461|46192|3||
462|46193|3||
463|46219|2||
464|46310|3||
466|46532|3||
467|46617|1||
468|46802|1||
469|46869|1||
472|49089|1||
475|49212|3||
478|49312|3||
479|49321|3||
480|49362|3||
481|49367|3||
482|49388|1||
483|49429|3||
484|49430|1||
485|49449|3||
486|49451|3||
487|49512|3||
488|49518|3||
489|49603|1||
491|52267|1||
492|52335|3||
494|52416|3||
495|52468|3||
496|52543|3||
498|52688|1||
499|52729|3||
500|52763|1||
501|52764|3||
502|52815|3||
503|52829|1||
505|52856|1||
506|52858|1||
507|52868|3||
508|52878|3||
512|55409|1||
514|55429|3||
515|55501|1||
517|55633|3||
519|55653|1||
524|55705|1||
525|55722|2||
526|55724|2||
528|55876|1||
529|55917|1||
530|55919|3||
531|55943|1||
532|55949|1||
533|55962|3||
534|56044|3||
535|56045|1||
537|58420|3||
538|58433|3||
540|58453|1||
541|58549|3||
542|58579|1||
544|58789|3||
547|58956|1||
548|58997|1||
549|62190|3||
551|71728|3||
552|71841|3||
553|71984|1||
554|72077|3||
555|72097|3||
556|72098|3||
557|72146|3||
558|72338|3||
559|72345|3||
560|72361|3||
561|72370|3||
562|72378|3||
563|72386|1||
564|72394|3||
565|74940|3||
566|75077|3||
567|75225|3||
568|75226|1||
570|75354|1||
571|75371|1||
572|75415|3||
573|75532|1||
574|75554|3||
575|78269|3||
576|78369|3||
577|78369|4||
578|78478|3||
579|78478|4||
581|78558|1||
582|78610|3||
583|78610|4||
585|78758|3||
586|78758|4||
587|78759|1||
588|78790|3||
590|78868|27||
591|78941|2||
592|81867|3||
593|81877|3||
594|81879|3||
595|81908|27||
596|81929|3||
597|82206|2||
598|85908|3||
601|88789|3||
602|88942|3||
603|88967|1||
604|88968|1||
605|88969|1||
606|88970|1||
607|88993|1||
608|89005|3||
610|89036|1||
611|89038|3||
612|89055|3||
613|89114|3||
614|89143|3||
615|89233|3||
617|89356|3||
618|89403|1||
620|91842|3||
621|91948|1||
623|92015|3||
624|92016|3||
625|92025|3||
627|92113|3||
628|92126|1||
630|92209|3||
631|92265|3||
632|92279|3||
633|92290|3||
634|92298|3||
635|92301|3||
636|92410|3||
640|3660|3||
646|5293|1||
647|5294|1||
648|5314|1||
649|5315|1||
651|6279|3||
652|6761|3||
653|18228|3||
654|19342|1||
655|19344|3||
656|19369|3||
657|19370|1||
658|19375|1||
661|21965|1||
663|22003|1||
664|22005|3||
665|22157|3||
666|22165|3||
667|22174|3||
668|22197|1||
669|22198|1||
670|22348|3||
671|22350|1||
675|24826|3||
679|24853|3||
681|719|3||
682|3626|3||
690|5270|1||
691|5290|1||
692|5297|1||
693|5316|1||
695|6867|3||
696|16575|1||
697|19339|1||
698|19349|1||
699|19351|3||
700|19379|1||
701|19618|1||
702|21920|1||
703|21922|1||
704|21923|3||
705|21987|3||
706|21996|3||
707|22018|3||
708|22019|3||
709|22046|1||
710|22049|1||
711|22136|1||
712|22180|3||
713|22181|1||
714|22374|1||
715|22375|1||
717|22534|3||
718|22562|1||
719|22565|1||
720|22580|1||
721|27256|1||
722|27730|1||
723|27872|1||
724|29554|3||
727|34002|3||
728|34299|3||
729|40090|1||
730|40159|1||
731|40172|1||
732|42776|1||
733|43002|3||
734|45355|3||
735|45358|3||
736|45365|3||
737|45372|3||
738|45467|3||
739|45472|1||
740|45475|1||
741|45509|3||
742|45527|1||
743|45528|3||
744|45872|2||
745|45902|2||
746|45930|3||
747|46046|3||
748|46047|3||
749|46061|2||
750|46073|3||
751|46075|3||
752|46084|2||
753|46085|2||
754|46090|3||
755|46100|3||
758|48440|1||
759|48505|1||
760|48602|3||
764|48670|1||
765|48671|1||
772|48798|3||
773|48804|1||
776|48963|1||
777|51452|1||
778|51566|1||
781|51739|3||
782|51754|1||
783|51783|1||
784|51857|3||
785|51858|3||
786|51859|3||
787|51871|3||
788|51934|3||
789|52002|3||
790|52077|3||
792|52130|1||
793|52154|3||
794|52211|1||
795|54736|2||
798|54877|3||
799|54888|3||
800|54934|1||
801|54961|3||
803|55059|1||
804|55114|1||
806|55307|3||
807|55308|3||
808|55309|3||
809|55347|3||
811|57833|3||
812|57839|3||
813|58171|1||
814|58236|1||
815|58238|3||
817|58394|1||
818|60861|2||
819|60923|3||
820|60949|2||
821|60964|3||
822|60973|2||
823|60986|3||
824|60996|3||
825|61009|3||
826|61028|2||
828|61423|2||
829|61426|3||
830|61456|3||
831|61464|1||
832|64103|3||
834|64330|1||
836|70443|1||
837|73413|1||
838|73448|1||
840|73515|3||
841|73570|3||
843|73591|3||
844|73598|3||
845|73666|1||
846|73710|3||
847|73715|3||
848|73825|1||
849|73856|3||
850|75732|3||
851|75733|3||
852|75836|1||
853|76157|1||
854|76204|1||
855|76211|1||
856|76249|1||
857|76270|1||
858|76306|1||
859|76307|1||
860|76317|1||
861|76335|3||
862|79049|1||
863|79164|27||
864|79190|27||
865|79232|3||
866|79233|3||
867|79317|3||
868|79317|4||
869|79350|3||
870|79350|4||
871|79356|3||
872|79356|4||
873|79357|1||
874|79358|3||
875|79358|4||
876|79390|3||
877|79390|4||
880|79451|3||
881|79451|4||
882|79466|1||
883|79467|1||
886|79492|3||
887|79492|4||
888|79498|1||
889|79499|1||
890|79565|3||
891|79565|4||
893|79607|3||
894|79607|4||
895|79766|1||
896|79776|1||
897|85413|1||
898|87074|3||
899|87083|3||
900|87087|3||
901|87089|1||
902|87099|3||
905|90230|3||
906|90231|3||
908|90247|3||
909|90257|3||
911|90421|3||
912|90425|3||
913|90447|3||
914|90533|3||
915|90568|3||
916|90578|3||
917|90652|1||
918|90801|3||
919|90947|3||
920|91018|3||
921|91055|1||
922|92887|3||
924|93097|1||
925|93106|1||
927|93172|1||
928|93196|1||
930|95702|1||
931|97652|3||
932|97653|3||
933|97796|3||
934|97890|3||
936|98155|3||
939|98337|3||
940|98359|1||
941|102292|4||
942|102419|1||
943|102482|1||
944|102484|1||
945|102519|3||
946|102645|1||
947|102801|1||
948|102804|1||
949|102816|3||
953|105683|3||
955|105902|1||
958|106062|3||
959|106089|3||
961|107969|1||
962|107970|1||
963|108249|1||
965|108542|3||
966|108562|1||
968|108582|3||
971|108594|3||
972|108597|3||
974|111033|3||
977|111124|3||
978|111226|3||
980|111387|1||
981|1670|3||
989|5494|1||
990|5608|3||
991|5630|3||
994|7278|3||
995|7351|3||
996|7378|3||
997|7406|3||
998|7450|3||
999|7586|3||
1000|8312|3||
1005|9924|3||
1006|10875|1||
1007|10976|1||
1008|11111|3||
1009|12990|1||
1010|12991|3||
1012|20331|3||
1015|20578|3||
1016|20596|3||
1017|20601|3||
1018|20608|3||
1019|20640|1||
1020|20658|3||
1023|1360|3||
1024|3633|3||
1026|5061|3||
1028|5271|1||
1029|5289|1||
1030|5291|1||
1031|5300|1||
1032|6298|3||
1034|6555|3||
1036|6642|3||
1038|6928|3||
1042|19340|1||
1043|19350|1||
1044|19371|1||
1045|19380|1||
1046|19658|1||
1047|21861|3||
1048|21925|3||
1049|21934|3||
1051|21967|1||
1052|22014|3||
1053|22020|3||
1054|22045|1||
1055|22069|1||
1056|22071|1||
1057|22150|3||
1059|22163|3||
1060|22301|1||
1061|22351|1||
1062|22356|3||
1063|22371|1||
1065|22377|3||
1066|22383|3||
1067|22385|1||
1068|22402|1||
1074|27395|1||
1075|27558|1||
1076|32137|3||
1077|33999|3||
1078|34298|3||
1079|40158|1||
1080|42374|3||
1081|45349|3||
1082|45360|3||
1083|45375|3||
1084|45459|1||
1085|45531|3||
1086|45541|3||
1087|45731|3||
1088|45908|3||
1089|45989|3||
1090|45991|3||
1091|45992|3||
1092|46009|3||
1093|46051|3||
1094|46052|3||
1095|46058|3||
1096|46074|3||
1097|46076|3||
1098|46082|2||
1099|46091|3||
1103|48496|3||
1106|48633|1||
1109|48781|1||
1112|51513|1||
1113|51554|1||
1114|51561|3||
1115|51565|1||
1116|51588|3||
1117|51618|1||
1119|51744|3||
1120|51798|3||
1121|51817|3||
1122|51862|3||
1123|51885|3||
1124|51912|3||
1125|52041|1||
1127|52133|1||
1128|52167|1||
1129|52184|1||
1130|52202|1||
1131|52212|3||
1136|54990|3||
1138|55118|3||
1140|55262|3||
1141|55282|1||
1142|55284|3||
1144|57566|1||
1146|57846|1||
1148|58037|3||
1151|58205|1||
1152|58260|1||
1154|58361|1||
1156|58386|3||
1157|60807|3||
1158|60965|3||
1159|60972|2||
1160|60989|3||
1161|61001|1||
1162|61077|1||
1163|61422|2||
1165|61465|1||
1167|64092|1||
1168|64094|1||
1169|64096|1||
1172|64332|1||
1173|64336|1||
1174|64343|1||
1175|64359|3||
1176|64441|1||
1178|64484|3||
1179|70390|1||
1180|73447|3||
1181|73513|3||
1182|73600|3||
1183|73610|1||
1184|73748|3||
1185|73750|3||
1186|73761|3||
1187|73794|3||
1188|73808|3||
1189|73813|3||
1190|73820|3||
1191|73823|3||
1192|73831|3||
1193|73855|3||
1194|75624|3||
1195|75757|3||
1196|75772|3||
1197|75795|1||
1198|75843|1||
1199|75987|1||
1200|76205|1||
1201|76207|1||
1202|76212|1||
1203|76288|3||
1205|76303|1||
1206|76305|1||
1207|76312|1||
1208|76314|1||
1209|76319|1||
1210|76321|1||
1211|79288|3||
1212|79318|3||
1213|79318|4||
1214|79327|3||
1215|79327|4||
1217|79344|3||
1218|79344|4||
1219|79347|3||
1220|79347|4||
1222|79383|1||
1223|79396|3||
1224|79396|4||
