WellPackerId|StateWellId|PackerId|PackerOtherDesc|Depth|CreatedDate|LastUpdateDate
1|139032|11|||2016-05-27|2016-05-27
2|139040|11||230|2016-06-21|2016-06-21
3|139041|11||190|2016-06-22|2016-06-22
4|139041|11||195|2016-06-22|2016-06-22
5|139041|11||200|2016-06-22|2016-06-22
6|139042|11||660|2016-06-22|2016-06-22
7|139042|11||860|2016-06-22|2016-06-22
8|139042|11||865|2016-06-22|2016-06-22
11|139049|12||50|2016-07-20|2016-07-20
12|139053|1|Shale & 6mil poly|120|2016-07-21|2016-07-21
16|139053|1|Shale & 6mil poly|130|2016-07-21|2016-07-21
17|139053|1|Shale & 6mil poly|280|2016-07-21|2016-07-21
18|139053|1|Shale & 6mil poly|290|2016-07-21|2016-07-21
19|139055|11||290|2016-07-21|2016-07-21
20|139055|11||300|2016-07-21|2016-07-21
23|139056|1|rubber & burlape|305|2016-07-21|2016-07-21
25|139057|12||200|2016-07-22|2016-07-22
26|139057|11||200|2016-07-22|2016-07-22
27|139057|12||210|2016-07-22|2016-07-22
28|139057|11||210|2016-07-22|2016-07-22
29|139057|12||217|2016-07-22|2016-07-22
30|139057|11||220|2016-07-22|2016-07-22
31|139059|11||410|2016-07-22|2016-07-22
32|139059|11||790|2016-07-22|2016-07-22
33|139059|11||800|2016-07-22|2016-07-22
34|139061|11||170|2016-07-29|2016-07-29
35|139061|11||400|2016-07-29|2016-07-29
36|139062|11||640|2016-08-02|2016-08-02
37|139062|11||642|2016-08-02|2016-08-02
38|139063|1|shale packer |105|2016-08-02|2016-08-02
40|139063|1|6 mil poly|110|2016-08-02|2016-08-02
41|139063|1|shale packer|115|2016-08-02|2016-08-02
42|139063|1|6 mil poly|120|2016-08-02|2016-08-02
43|139068|11||220|2016-08-29|2016-08-29
44|139070|11||150|2016-08-29|2016-08-29
45|139071|11||15|2016-08-29|2016-08-29
46|139071|11||370|2016-08-29|2016-08-29
47|139073|1|Hole Plug|100|2016-08-29|2016-08-29
48|139084|11||330|2016-09-16|2016-09-16
49|139096|11||191|2016-09-16|2016-09-16
50|57221|1|8"X4" right by left Tappered Alignment Coupling||2016-10-06|2016-10-06
51|57748|14|||2016-10-06|2016-10-06
53|139151|2||105.6|2016-10-20|2016-11-15
54|139151|2||395.2|2016-10-20|2016-11-15
55|139151|2||430.2|2016-10-20|2016-11-15
56|139151|2||475.1|2016-10-20|2016-11-15
