WellPlugBackId|StateWellId|TopDepth|BottomDepth|PlugBackMaterialId|PlugBackMaterialOtherDesc|CreatedDate|LastUpdateDate
1|139038|880|980|11||2016-06-20|2016-06-20
2|136191|495|886|2||2016-06-29|2016-06-29
3|136201|630|1000|2||2016-06-29|2016-06-29
5|139|300|600|10||2016-07-27|2016-07-27
6|139079|1052|1229|10||2016-09-06|2016-09-06
7|139080|1042|1153|10||2016-09-06|2016-09-06
9|22978|1454|1460|10||2016-09-20|2016-09-20
10|23216|1100|1140|10||2016-10-04|2016-10-04
11|93946|232|296|2||2016-10-06|2016-10-06
12|58744|353|770|10||2016-10-06|2016-10-06
13|57589|676|1152|2||2016-10-06|2016-10-06
14|22524|291|805|2||2016-11-22|2016-11-22
15|139165|385|525|10||2016-11-28|2016-11-28
16|23399|145|409|2||2016-12-01|2016-12-01
17|121983|780|1244|1|sedimentation|2016-12-06|2016-12-06
19|139173|540|580|10||2016-12-12|2016-12-12
20|134120|590|630|10||2016-12-28|2016-12-28
21|134323|588|597|2||2017-01-03|2017-01-03
22|97994|435|455|2||2017-02-22|2017-02-22
23|97999|335|345|2||2017-02-22|2017-02-22
24|59287|290|573|2||2017-03-22|2017-03-22
25|59224|750|930|2||2017-03-24|2017-03-24
26|49101|2400|2513|10||2017-03-27|2017-03-27
27|139230|915|1030|10||2017-04-10|2017-04-10
28|139242|555|610|10||2017-04-18|2017-04-18
29|128146|3920|4070|10||2017-04-18|2017-04-18
30|128146|4450|4600|10||2017-04-18|2017-04-18
31|128336|5200|5400|10||2017-04-18|2017-04-18
32|120375|||1|Cement baskets|2017-06-26|2017-06-26
33|21384|664|700|2||2017-06-29|2017-06-29
34|99072|953|1125|2||2017-07-19|2017-07-19
35|50099|1450|1525|2||2017-08-02|2017-08-02
36|52855|652|688|2||2017-08-02|2017-08-02
37|54299|725|762|2||2017-08-03|2017-08-03
38|62171|483|500|2||2017-08-09|2017-08-09
39|62715|40|100|2||2017-08-09|2017-08-09
40|92458|621|642|1|Bentonite & Cement|2017-08-16|2017-08-16
41|92458|642|840|1|Drill Cuttings|2017-08-16|2017-08-16
42|139637|460|620|1|Class H Cement|2018-01-29|2018-01-29
43|139642|506|514|11||2018-02-02|2018-02-02
44|139642|514|517|10||2018-02-02|2018-02-02
45|139642|517|761|1|Fill/Collapse|2018-02-02|2018-02-02
46|20561|502|720|2||2018-02-08|2018-02-08
47|23204|1420|1522|2||2018-04-17|2018-04-17
48|52868|840|940|1|Cement/Bentonite|2018-04-17|2018-04-17
49|139042|910|970|1|Class H Cement|2018-04-17|2018-04-17
50|139196|537|604|1|30 SACKS PLUG|2018-04-17|2018-04-17
51|139336|520|600|1|Class H Cement|2018-04-17|2018-04-17
52|139655|300|565|10||2018-04-17|2018-04-17
53|24328|870|900|1|Gravel|2018-05-16|2018-05-16
54|48235|266|300|2||2018-05-30|2018-05-30
55|23110|2300|2543|10||2018-05-31|2018-05-31
56|48851|1384|1461|2||2018-05-31|2018-05-31
57|106573|1980|2502|2||2018-06-08|2018-06-08
58|106572|1839|2815|2||2018-06-08|2018-06-08
59|106533|1980|2502|2||2018-06-11|2018-06-11
60|56998|976|1080|10||2018-06-26|2018-06-26
61|56997|1240|1340|10||2018-06-27|2018-06-27
62|56997|1340|1844|1|Back filled|2018-06-27|2018-06-27
63|102841|585|595|2||2018-06-28|2018-06-28
64|48585|1778|1856|2||2019-01-14|2019-01-14
65|48445|637|640|10||2019-01-15|2019-01-15
66|139897|||2||2019-01-23|2019-01-23
67|139898|||2||2019-01-23|2019-01-23
68|139899|||2||2019-01-24|2019-01-24
69|89839|500|718|10||2019-03-05|2019-03-05
70|92112|120|200|2||2019-03-07|2019-03-07
71|48901|852|868|2||2019-03-08|2019-03-08
72|140300|180|200|11||2020-04-08|2020-04-08
