StateWellId|SurfaceCompletionId|SurfaceCompletionOtherDesc|CreatedDate|LastUpdateDate
42|2||2018-04-17|2018-04-17
44|2||2018-04-17|2018-04-17
54|14||2016-07-14|2016-07-14
56|10||2016-07-26|2016-07-26
115|14||2016-07-26|2016-07-26
125|10||2016-07-27|2016-07-27
138|10||2016-07-27|2016-07-27
139|14||2016-07-27|2016-07-27
151|14||2016-07-27|2016-07-27
170|10||2016-07-27|2016-07-27
194|14||2016-07-27|2016-07-27
202|12||2018-04-17|2018-04-17
203|14||2016-07-27|2016-07-27
238|14||2016-07-27|2016-07-27
295|11||2016-07-27|2016-07-27
311|11||2016-07-27|2016-07-27
350|10||2016-07-27|2016-07-27
476|12||2018-04-17|2018-04-17
486|12||2018-04-17|2018-04-17
495|12||2018-04-17|2018-04-17
511|12||2018-04-17|2018-04-17
512|11||2016-07-27|2016-07-27
528|10||2018-04-17|2018-04-17
571|10||2018-04-17|2018-04-17
572|2||2018-04-17|2018-04-17
573|10||2018-04-17|2018-04-17
576|2||2018-04-17|2018-04-17
577|2||2018-04-17|2018-04-17
579|10||2018-04-17|2018-04-17
580|10||2018-04-17|2018-04-17
616|10||2016-07-29|2016-07-29
631|2||2016-07-29|2016-07-29
632|10||2018-04-17|2018-04-17
635|10||2016-07-29|2016-07-29
652|2||2016-07-29|2016-07-29
662|2||2018-04-17|2018-04-17
669|2||2016-07-29|2016-07-29
682|10||2018-04-17|2018-04-17
738|14||2016-07-29|2016-07-29
831|10||2016-07-29|2016-07-29
906|10||2016-07-29|2016-07-29
919|10||2016-07-29|2016-07-29
958|10||2016-07-29|2016-07-29
1199|14||2016-07-29|2016-07-29
1455|14||2016-07-29|2016-07-29
1484|14||2016-07-29|2016-07-29
1487|14||2016-07-29|2016-07-29
1648|2||2018-04-17|2018-04-17
1755|12||2016-07-29|2016-07-29
1758|14||2016-07-29|2016-07-29
1783|10||2016-07-29|2016-07-29
1825|14||2016-07-29|2016-07-29
1866|10||2016-07-29|2016-07-29
1914|10||2016-07-29|2016-07-29
1919|14||2016-07-29|2016-07-29
1946|10||2018-04-17|2018-04-17
1956|10||2016-07-29|2016-07-29
1968|2||2016-07-29|2016-07-29
1976|12||2016-08-01|2016-08-01
1979|11||2018-04-17|2018-04-17
2011|11||2018-04-17|2018-04-17
2012|14||2016-08-01|2016-08-01
2035|2||2018-04-17|2018-04-17
2045|2||2018-04-17|2018-04-17
2048|2||2018-04-17|2018-04-17
2129|14||2018-04-17|2018-04-17
2176|11||2018-04-17|2018-04-17
2177|12||2018-04-17|2018-04-17
2178|14||2018-04-17|2018-04-17
2195|11||2016-08-01|2016-08-01
2263|12||2016-08-01|2016-08-01
2271|12||2016-08-01|2016-08-01
2308|10||2016-08-01|2016-08-01
2309|10||2016-08-01|2016-08-01
2352|11||2018-04-17|2018-04-17
2479|12||2016-08-01|2016-08-01
2516|11||2016-08-01|2016-08-01
2526|11||2016-08-01|2016-08-01
2575|11||2016-08-01|2016-08-01
2607|11||2016-08-01|2016-08-01
2781|12||2018-04-17|2018-04-17
