WellTestId|StateWellId|TestTypeId|TestTypeOtherDesc|Yield|Drawdown|TestHours|WellTestMonth|WellTestDay|WellTestYear|WellTestDate|CreatedDate|LastUpdateDate
2|139032|2||35|||0|0|0||2016-05-27|2016-05-27
3|139033|12||75|75|1|1|3|2009||2016-06-14|2016-06-14
4|139034|12||85|0|1|1|12|2006||2016-06-14|2016-06-14
5|74573|10||650|38|36|2|15|2002||2016-06-15|2016-06-15
6|139039|10||100|45|1|1|29|2011||2016-06-16|2016-06-16
7|139038|13||300|||2|17|2016||2016-06-20|2016-06-20
8|139041|12||10|||0|0|0||2016-06-22|2016-06-22
10|139042|13||15+|||0|0|0||2016-06-22|2016-06-22
11|22947|10||222|44|36|12|30|2002|2002-12-30|2016-06-24|
12|23042|10||300|48|24|3|18|2003|2003-03-18|2016-06-24|
13|24799|10||260|80|36|3|30|2009|2009-03-30|2016-06-24|
14|35470|2||155|||4|7|1953|1953-04-07|2016-06-24|
15|35471|2||350|||4|7|1953|1953-04-07|2016-06-24|
16|36160|2||40|||||1977||2016-06-24|
17|38678|13||3||0|4|9|1969|1969-04-09|2016-06-24|
18|38680|13||7||0|4|9|1969|1969-04-09|2016-06-24|
19|38683|13||3||0|8|11|1969|1969-08-11|2016-06-24|
20|38692|13||3||0|4|9|1969|1969-04-09|2016-06-24|
21|38693|13||180||0|4|20|1961|1961-04-20|2016-06-24|
22|38824|12||20|||6|21|1996|1996-06-21|2016-06-24|
23|53596|10||235|197|36|7|19|2006|2006-07-19|2016-06-24|
24|63258|13||20||0|5|19|1986|1986-05-19|2016-06-24|
25|63649|13||60||0|4|19|1986|1986-04-19|2016-06-24|
26|63655|13||4||0|4|29|1986|1986-04-29|2016-06-24|
27|63655|13||4||0|11|10|1983|1983-11-10|2016-06-24|
28|63660|10||60|120|36|7|20|1992|1992-07-20|2016-06-24|
29|63676|13||15||0|5|20|1986|1986-05-20|2016-06-24|
30|63680|10||110||0|11|4|1992|1992-11-04|2016-06-24|
31|63681|10||250|0|24|8|14|1992|1992-08-14|2016-06-24|
32|63751|13||10||0|3|12|1974|1974-03-12|2016-06-24|
33|63757|12||30|0|1|3|9|2000|2000-03-09|2016-06-24|
34|63759|13||75||0|4|29|1986|1986-04-29|2016-06-24|
35|63848|13||8||0|10|15|1964|1964-10-15|2016-06-24|
36|63852|13||4||0|10|13|1964|1964-10-13|2016-06-24|
37|63924|13||1||0|9|23|1964|1964-09-23|2016-06-24|
38|63928|13||3||0|9|23|1964|1964-09-23|2016-06-24|
39|63931|13||10||0|10|14|1964|1964-10-14|2016-06-24|
40|63932|13||2||0|10|14|1964|1964-10-14|2016-06-24|
41|63936|13||5||0|10|13|1964|1964-10-13|2016-06-24|
42|63939|13||1||0|10|2|1964|1964-10-02|2016-06-24|
43|63942|13||2||0|10|13|1964|1964-10-13|2016-06-24|
