GWAquiferId|GWAquiferCode|Description|CreatedDate|LastUpdateDate
1|100ALVM|Alluvium||
2|100CPCR|Cenozoic Pecos Alluvium and Cretaceous Rocks||
3|100CPCRL|Cenozoic Pecos Alluvium and Lower Cretaceous Rocks||
4|100CPDG|Cenozoic Pecos Alluvium and Dockum Formation||
5|100CPDR|Cenozoic Pecos Alluvium, and Dockum and Rustler Formations||
6|100PECS|Cenozoic Pecos Alluvium||
7|100TAHO|Tahoka Formation||
8|110AASP|Alluvium, Antlers Sand and Permian System||
9|110ABDC|Alluvial Plain Deposits, Blaine Gypsum and Dog Creek Shale||
10|110ACPO|Alluvial Channel and Plain Deposits and Ochoa Series||
11|110AGRT|Alluvium and Precambrian Granite||
12|110AHTP|Alluvium and High Terrace Deposits||
13|110AHTW|Alluvium, High Terrace Deposits and Whitehorse Group||
14|110ALTC|Alluvium, Low Terrace and Channel Fill Deposits||
15|110ALTO|Alluvium, Low Terrace and Channel Fill Deposits and Ogallala Formation||
16|110ALTW|Alluvium, Low Terrace and Channel Fill Deposits and Whitehorse Group||
17|110ALVM|Quaternary Alluvium||
18|110ALVP|Alluvial Plain Deposits||
19|110ALWX|Alluvium, Leona Formation and Wilcox Group||
20|110ASSA|Alluvium, Terrace Deposits, Seymour Formation and San Angelo Sandstone||
21|110ATCF|Alluvial Terrace and Channel Deposits and Flowerpot Shale||
22|110ATCW|Alluvial Terrace and Channel Deposits and Whitehorse Group||
23|110ATSB|Alluvium, Terrace Deposits, Seymour Formation and Blaine Formation||
24|110AVAN|Alluvium and Antlers Sand||
25|110AVAR|Alluvium and Arroyo Formation||
26|110AVAU|Alluvium and Austin Chalk||
27|110AVBL|Alluvium and Blaine Gypsum||
28|110AVCB|Alluvium, Choza Formation and Bullwagon Dolomite||
29|110AVCC|Alluvium and Cretaceous Rocks||
30|110AVCF|Alluvium and Clear Fork Group||
31|110AVCG|Alluvium and Cisco Group||
32|110AVCH|Alluvium and Choza Formation||
33|110AVCM|Alluvium and Cook Mountain Formation||
34|110AVCY|Alluvium and Canyon Group||
35|110AVCZ|Alluvium and Carrizo Sand||
36|110AVDK|Alluvium and Dockum Formation||
37|110AVET|Alluvium, Edwards and Associated Limestones and Trinity Sands||
38|110AVEV|Alluvium and Evangeline Aquifer||
39|110AVFP|Alluvium, Flood Plain||
40|110AVFV|Alluvium and Fluviatile Terrace Deposits||
41|110AVGL|Alluvium and Goliad Sand||
42|110AVGR|Alluvium and Glen Rose Limestone||
43|110AVJK|Alluvium and Jackson Group||
44|110AVLC|Alluvium and Lower Cretaceous Rocks||
45|110AVLS|Alluvium and Lissie Sand||
46|110AVMA|Alluvium and Artesia Group||
47|110AVME|Alluvium and Edwards and Associated Limestones||
48|110AVMF|Alluvium and Marble Falls Limestone||
