RWPARegionId|RWPARegionCode|RWPARegionLetter|RWPARegionName|RWPARegionNameMixed
1|01|A|PANHANDLE|Panhandle
2|02|B|REGION B|Region B
3|03|C|REGION C|Region C
4|04|D|NORTH EAST TEXAS|North East Texas
5|05|E|FAR WEST TEXAS|Far West Texas
6|06|F|REGION F|Region F
7|07|G|BRAZOS G|Brazos G
8|08|H|REGION H|Region H
9|09|I|EAST TEXAS|East Texas
10|10|J|PLATEAU|Plateau
11|11|K|LOWER COLORADO|Lower Colorado
12|12|L|SOUTH CENTRAL TEXAS|South Central Texas
13|13|M|RIO GRANDE|Rio Grande
14|14|N|COASTAL BEND|Coastal Bend
15|15|O|LLANO ESTACADO|Llano Estacado
16|16|P|LAVACA|Lavaca
