WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
1|00010|WATER|TEMPERATURE, WATER (CELSIUS)|TEMP| C  ||
2|00011|WATER|TEMPERATURE, WATER (FAHRENHEIT)|TEMP|FAHN||
3|00090|REDOX|OXIDATION REDUCTION POTENTIAL (ORP), MILLIVOLTS|POTENTAL| MV ||
4|00094|CNDUCTVY|SPECIFIC CONDUCTANCE, FIELD (UMHOS/CM AT 25C)|FIELD|MICR||
5|00095|CNDUCTVY|SPECIFIC CONDUCTANCE (UMHOS/CM @25C)|AT 25C|MICR||
6|00148|HERBICID|HERBICIDES, TOTAL (UG/L)|ES, TOT|UG/L||
7|00154|SULFATE|SULFATE,  TOTAL (MG/L AS S)|S TOT|MG/L||
8|00189|RADIOACT|RADIOACTIVITY, WHOLE WATER (PC/L)|IVITY|PC/L||
9|00191|HYDROGEN|HYDROGEN ION CONCENTRATION, TOTAL (MG/L)|ION TOT|MG/L||
10|00299|DO|OXYGEN, DISSOLVED, ANALYSIS BY PROBE (MG/L)|PROBE|MG/L||
11|00300|DO|OXYGEN, DISSOLVED (MG/L)|DISSOLVE|MG/L||
12|00335|COD|CHEMICAL OXYGEN DEMAND, .025N K2CR207 (MG/L)|LOWLEVEL|MG/L||
13|00387|OZONE|OZONE (MG/L)||MG/L||
14|00400|pH|PH (STANDARD UNITS), FIELD|FIELD| SU ||
15|00403|pH|PH (STANDARD UNITS) LAB|LAB| SU ||
16|00405|CARBON|CARBON DIOXIDE (MG/L AS CO2)|DIOXIDE|MG/L||
17|00410|TALK|ALKALINITY, TOTAL (MG/L AS CACO3)|CACO3|MG/L||
18|00415|PHENOL|ALKALINITY, PHENOLPHTHALEIN (MG/L)|ALKALIN|MG/L||
19|00431|TALK|ALKALINITY TOTAL FIELD (MG/L AS CACO3)|FIELDALK|MG/L||
20|00435|TACDITY|ACIDITY TOTAL (MG/L AS CACO3)|CACO3|MG/L||
21|00437|ACIDITY|ACIDITY, CO2 (PHENOLPH.)(MG/L AS CACO3)|FROM CO2|MG/L||
22|00440|HCO3ION|BICARBONATE ION, CALCULATED (MG/L AS HCO3)|HCO3|MG/L||
23|00445|CO3ION|CARBONATE ION, CALCULATED (MG/L AS CO3)|CO3|MG/L||
24|00447|CO3FLD|CARBONATE,INCREMENTAL TITRATION,FIELD, TOT.(MG/L)|TOTAL|MG/L||
25|00450|BICARB|BICARBONATE,INCREMENT TITRATION,(HCO3)FIELD (MG/L)|FLD TOT|MG/L||
26|00452|CARBONAT|CARBONATE, INCR TITRATION, DISSOLVED, FIELD (MG/L)|DISS FLD|MG/L||
27|00453|BICARB|BICARBONATE, DISSOLVED AS HCO3, FIELD (MG/L)|DISS FLD|MG/L||
28|00480|SALINITY|SALINITY (IN PARTS PER THOUSAND)||PPTH||
29|00597|DISSN2|NITROGEN GAS, DISSOLVED (MG/L OF N)|GASEOUS|MG/L||
30|00600|TOTALN|NITROGEN, TOTAL (MG/L AS N)|AS N|MG/L||
31|00605|ORGN|NITROGEN, ORGANIC, TOTAL (MG/L AS N)|N|MG/L||
32|00607|ORGANIC|NITROGEN, ORGANIC, DISSOLVED (MG/L AS N)|N-DISS|MG/L||
33|00608|NH3-N|NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)|DISS|MG/L||
34|00610|NH3-N|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|TOTAL|MG/L||
35|00612|UN-IONZD|AMMONIA, UNIONIZED (MG/L AS N)|NH3-N|MG/L||
36|00613|NO2-N|NITRITE NITROGEN, DISSOLVED (MG/L AS N)|DISS|MG/L||
