WaterUseSurveyCode|WaterUseSurveyDescription
0000000|N/A
0000020|GREENBELT MIWA
0000025|ATHENS MUNICIPAL WATER AUTHORITY
0000180|TRINITY RIVER AUTHORITY-LAKE BARDWELL 08210
0000187|TRINITY RIVER AUTHORITY-WALLISVILLE 08300
0000240|SAN JACINTO RIVER AUTHORITY-LAKE CONROE 10060
0000341|BRAZOS RIVER AUTHORITY-LAKE WHITNEY
0000369|BRAZOS RIVER AUTHORITY-LK GEORGETOWN 12310
0000469|LOWER COLORADO RIVER AUTHORITY-LCRA MARBLE FALLS 14210
0000520|MOBIL PRODUCING TEXAS & N M INC-OAK CREEK B274114050
0000630|S & L OILFIELD SERVICE
0000635|NUECES RIVER AUTHORITY
0000695|CAMERON COUNTY WCID 16
0000710|HARLINGEN ID
0000740|EL PASO CITY WID 1
0000750|HIDALGO CAMERON WCID 9
0000790|DONNA ID HIDALGO COUNTY 1
0000911|NORTH CAMERON REGIONAL WTF
0000940|KENT MORGAN COMPANY
0001050|ROBERT ELLIS
0001052|BETTY HILLMAN
0001062|MASTERS & KENADY
0001069|GULF OIL WATER SYSTEM
0001087|CUDDIHY CORPORATED
0004000|AAA WIRE PRODUCTS INC
0004010|A & A MHP
0005050|A P V CREPACO CORPORATION
0005760|ABB INC
0005780|ABB SEATEC INC
0005806|ABBOTT LABS DIAGNOSTICS DIVISION
0007050|ABTEX BEVERAGE CORPORATION
0007300|ACE BRASS & ALUMINUM CASTING COMPANY
0007381|TEXACE LTD
0007800|BINSWANGER GLASS VITRO AMERICA
0008050|ACME BAG MANUFACTORING INC
0008200|ACME BRICK COMPANY-DENTON PLANT
0008485|ACME BRICK COMPANY-ELGIN PLANT 2 WELL
0009350|ADS THE POWER RESOURCE INC
0009390|ADOBE CHEMICAL COMPANY
0009400|LG&E NATURAL
0009814|ADVANCE TABCO
0009820|ADVANCE SERVICE COMPANY
0009850|AEROPROCESS INC
0010310|AGRO DISTRIBUTION LLC
0010843|AIRBORN INC-ADDISON PLANT
0011131|ALAMO CONCRETE PRODUCTS LTD-ZARZAMORA ROAD PLANT
0011200|CITY OF ALAMO HEIGHTS
0011260|ALAMO IRON WORKS-AT & T CENTER PKWY
0011380|ALAMO TECHNOLOGY INC
0011400|CITY OF ALBA
0011483|ALDINE ISD-DREW JR HIGH
0011669|ALEDO ELEMENTARY SCHOOL
0011903|ALEXANDER MOULDING MILL COMPANY
0013270|ALLIED APICAL COMPANY
0013300|ALLIED FENCE CORPORATION
0013630|ALLIED MILLS
0013650|ALLISON VOLUNTEER WATER
0013683|LUBBALLOY CORPORATION
0015750|ALUMINUM CONDUCTOR PRODUCTS COMPANY
0018500|AMARILLO INDUSTRIES INC
0019370|FARMER DALE KITCHENS
0019902|NO DATA AVAILABLE
0020300|AMBASSADOR UNIVERSITY
0020320|CMS HARTZELL MANUFACTURING INC
0020391|AMERICAN CHEMLAB INC
0020394|AMERICAN COTTON GROWERS DIV
0020430|FUJIREBIO DIAGNOSTICS INC
0020450|AMERICAN BOTTLING COMPANY-LESTER STREET PLANT
0020480|AMERICAN CAN COMPANY-HALLIBURTON ENERGY SERVICES INC
0020495|AMERICAN E D M & TOOLING INC
0021610|AMERICAN NATIONAL CARBIDE COMPANY
0021800|AMER PORCELAIN ENAMELING INC
0022800|FEDERATED METALS CORPORATION
0022860|AMERICAN WATER SYSTEMS
0023250|AMERICHEM INC
0023600|AMF BEN HOGAN COMPANY
0024366|INTERNATIONAL BOUNDARY & WATER COMMISS-AMISTAD DAM WATER SYSTEM
0024740|ANADITE METAL FINISHING DIVISION
0024755|AMOCO PRODUCTION COMPANY-BURNELL HYDROCARBON RECOVERY UNIT
0024815|AMOCO PRODUCTION COMPANY-CEDAR LAKE COMPRESSION STATION
0024875|AMOCO PRODUCTION COMPANY-LA ROSA HYDROCARBON RECOVERY UNIT
0024890|OCCIDENTAL PERMIAN LTD-SLAUGHTER GASOLINE PLANT
0024960|AMTEC DIAGNOSTICS INTL INC
0025200|ANCHOR POST FENCE COMPANY
0026080|ANDERSON COUNTY CEDAR CREEK WSC
0026656|PENTAIR VALVES & CONTROLS - HARLINGEN
0026675|GROUPE LANCASSE USA INC
0029100|ANHEUSER-BUSCH LLC
0029600|CITY OF ANNA
0029675|A N N S DEVELOPMENT COMPANY INC-SYSTEM 1
