date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-01-01,351524.3999,688.700889,124054.629,1333.99101,88444.00159,250961.33094
2010-01-02,357011.746,756.91973,123991.9203,1345.547914,50031.40306,235588.29841000002
2010-01-03,352858.9994,784.4915,123909.6513,1445.74064,91401.56035,163473.45737
2010-01-04,307648.9204,420.952511,123863.2748,1354.274086,115537.6671,138413.414769
2010-01-05,334763.8922,500.900862,123992.3819,1401.581616,48259.6522,222899.9826
2010-01-06,333150.8449,707.02278,124052.5383,3675.351148,22258.86918,357133.86368
2010-01-07,333959.2001,694.910679,124066.3698,4139.582023,96055.90452,282618.82911
2010-01-08,349534.6296,1005.301302,123919.6301,3506.881976,49406.06372,289723.445
2010-01-09,367794.1603,787.498597,124045.2605,1296.381948,101521.8287,235897.6547
2010-01-10,362653.095,716.269147,124040.3871,1258.392768,36820.56067,234183.67409000001
2010-01-11,311042.4309,906.215959,123938.5835,1268.56279,119235.012,140716.626708
2010-01-12,346741.8472,817.276374,124097.3632,1276.164587,57788.60745,259780.06597
2010-01-13,358263.7318,910.800832,124172.2809,1224.953008,92329.34164,295305.91912000004
2010-01-14,347203.8806,877.693651,124106.4573,1301.856441,116505.6296,219431.536654
2010-01-15,326194.3795,882.770818,124051.5098,1187.012967,138125.8222,152485.530767
2010-01-16,314424.8529,1020.973135,124068.8324,1410.200285,95166.51652,215711.32261
2010-01-17,336146.779,1283.302708,124163.319,1539.680261,49747.73798,291521.96651
2010-01-18,340264.6835,1331.450476,124168.6471,1422.755275,51754.30461,255330.12224
2010-01-19,327686.3512,1412.389716,124180.1357,1296.312058,86818.90385,198105.97016
2010-01-20,309429.5878,1391.027469,123982.7991,1226.252389,123019.4346,172230.682943
2010-01-21,333431.4362,1425.131371,123764.6543,1202.834079,73512.85376,195621.31861999998
2010-01-22,346167.4842,1347.75847,123697.6278,1154.293098,66380.00999,199626.178015
2010-01-23,379367.8437,1381.566306,123879.3705,1494.664181,25331.38846,213041.759896
2010-01-24,364088.5022,1334.381535,123904.3418,1366.11454,66403.31307,178102.260354
2010-01-25,377451.7608,1583.303753,124022.9849,1422.816703,67573.2485,215249.75959
2010-01-26,379605.1668,1580.406901,124137.6176,1365.543189,52020.62606,281888.74666
2010-01-27,372064.2734,1524.933253,124137.9565,1170.360507,109140.5101,270286.0051
2010-01-28,374439.0675,1665.315129,124004.7377,1283.056582,55403.56351,224596.140927
2010-01-29,357373.9137,1317.210755,123918.4247,1064.187564,111217.5883,124421.397481
2010-01-30,345544.4679,1328.739919,123899.727,1165.776978,117428.8557,105185.616094
2010-01-31,349891.5372,1543.886112,123949.1865,1217.262284,65164.60465,136306.63138
2010-02-01,320687.6362,1532.105011,122916.9723,7540.608841,69546.15464,275115.12501
2010-02-02,296165.9905,1658.006702,122798.9679,2702.195561,109454.2795,183676.58085
2010-02-03,269288.1833,1699.755217,103971.4207,2886.0426,105796.7788,215903.325
2010-02-04,280679.9622,1322.727018,89666.65081,3014.405509,89159.77244,231459.6107
2010-02-05,328670.3128,1108.660904,90024.50621,6435.254692,23020.1923,251567.48222
2010-02-06,308345.1937,966.356269,90045.986,2192.667054,93208.67018,180227.95245
2010-02-07,294042.8383,1033.221035,93797.02334,2434.009667,109608.2505,173578.56169
2010-02-08,299348.4244,976.065664,90007.7741,1897.626397,101026.8502,214748.94731000002
2010-02-09,298975.2433,944.426925,89431.02083,2104.324143,110501.5435,211257.14605
2010-02-10,325682.3099,835.763383,89423.62979,2283.928205,41711.82516,260894.43967999998
2010-02-11,300088.1393,825.842347,89708.89717,2109.03811,116873.418,229584.79718
2010-02-12,310155.6579,854.19383,90252.49255,2210.06071,101800.6667,234593.4938
2010-02-13,307076.2789,770.087025,89111.56954,3238.50288,29817.28295,222496.16775
2010-02-14,275187.4208,635.269968,90518.51721,2189.082407,81454.86789,210996.90259
2010-02-15,282155.4973,691.007169,90531.12133,1933.586818,82910.93072,251809.56339999998
2010-02-16,312563.6164,729.211993,90565.09645,2887.126045,69459.00738,236020.61005000002
2010-02-17,299931.3151,798.279587,90455.0238,3211.664524,107372.4463,226418.24411000003
2010-02-18,318355.3044,832.363035,90286.56942,2593.499929,41077.03645,266444.34917
2010-02-19,305610.1065,698.139173,90350.66139,3716.460675,110175.0455,222967.80204
