date,Biomass,Coal,Hydro,Nuclear,Other,Solar,Wind,NGas
2017-01-01,1324.081361,334566.813836,1298.884492,122667.831016,77.164032,3499.481483,143261.788005,141613.09805600002
2017-01-02,1197.716446,305441.382715,1976.140008,122633.889921,71.685766,3634.147749,211989.545866,133299.837431
2017-01-03,1202.451828,351989.88218,2057.717215,122616.410688,154.302265,3222.344014,161743.114256,194640.611113
2017-01-04,2105.82149,397295.860278,2331.779764,122700.855165,131.990035,2450.461189,118516.328258,322016.536242
2017-01-05,3028.54079,367019.58974,2493.873568,122731.056373,78.254327,2417.862189,209795.676343,294446.04861000006
2017-01-06,2972.453996,415243.4781,2691.69088,122794.969564,74.667229,1794.135179,171288.538991,552519.250799
2017-01-07,2975.312188,401942.088144,2639.864855,122930.023748,138.418937,3974.849561,96360.772489,602542.031644
2017-01-08,2995.74611,326636.036832,2047.004239,122996.211318,68.04075,3628.463694,251109.888977,403919.646465
2017-01-09,2980.328574,285431.862797,1828.14166,122959.704896,70.696435,3358.743043,284458.301894,227064.00876
2017-01-10,2925.301748,261556.162945,2207.899102,122950.624598,54.374801,2649.157582,219131.827816,207664.062827
2017-01-11,2991.471812,221995.822908,2143.217267,122871.105146,110.077771,3157.310851,323369.820123,151209.416715
2017-01-12,2927.898024,310061.495989,2332.541798,122829.934913,37.372661,2558.721823,170886.578624,225931.45756500002
2017-01-13,2956.830749,346230.316435,4027.414659,122825.876558,115.423266,1355.834917,139345.672664,257180.25626599998
2017-01-14,1307.550747,371988.921194,4099.542839,122809.147396,276.641672,769.674232,75116.011433,279642.925218
2017-01-15,1267.934829,354477.662329,3660.983836,122789.968046,112.496272,1031.023522,124874.761881,193770.280097
2017-01-16,1209.525673,320786.350255,4106.971293,122674.901185,38.388024,3129.679651,103612.969732,273330.363365
2017-01-17,1292.024301,322626.975814,3753.750475,122693.161521,17.826516,587.223645,108245.277136,314209.726273
2017-01-18,1318.162914,349709.865796,4347.587172,122555.184463,-4.170157,2766.319965,82405.13053,313893.290286
2017-01-19,1308.425273,289947.451662,4515.120376,122696.218125,52.691704,3783.74927,243670.964295,164799.850764
2017-01-20,1341.614088,270838.964139,4504.628589,122623.131992,74.022021,3843.730983,238452.159745,178646.253998
2017-01-21,1317.918123,282316.696743,4225.722467,122560.660984,153.68029,2477.982043,203003.289755,163786.240331
2017-01-22,1277.919093,204696.694134,3740.703871,122554.118921,57.078278,3932.843375,269062.729815,158200.917379
2017-01-23,1297.764717,255090.376549,3630.079353,122658.171647,64.192289,4788.384441,175243.936933,263439.639485
2017-01-24,1259.856942,233490.825588,3476.274292,122633.784661,67.128988,4269.467916,297443.338904,165252.719105
2017-01-25,1312.869161,303851.548718,3753.530638,122625.444918,58.263028,2522.397806,131675.872245,254862.948041
2017-01-26,1335.833386,327356.209673,3477.812017,122727.731123,69.758389,3605.046933,63901.743821,367596.826042
2017-01-27,1380.718512,357559.719696,4113.590499,122715.584269,87.086265,1946.139963,122662.803674,325900.71238100005
2017-01-28,1415.85394,323188.779514,3625.902275,122341.944175,73.344547,4335.685609,162712.247261,269580.704233
2017-01-29,1330.842416,295053.949128,2653.332335,122358.917006,72.834205,4890.000769,162544.466328,259707.507309
2017-01-30,1351.241127,295468.049383,2849.749391,122717.738484,84.597054,4880.127789,148615.72575,268662.24031799997
2017-01-31,1338.328998,248036.651498,2801.061338,122729.662771,69.770317,4992.443744,198970.716392,242515.714376
2017-02-01,1291.580185,212699.363797,2557.363987,122667.455789,67.91861,5086.185417,204952.737089,264195.77541
2017-02-02,1307.707464,263706.659452,2475.966291,122512.625641,156.029836,4351.50478,142724.957139,323764.856619
2017-02-03,1384.301819,290990.514628,2922.242947,122529.9568,66.931093,3595.375637,106854.13128,359564.023031
2017-02-04,1371.637969,301052.925757,1766.499625,122557.814132,68.770872,2524.780173,144178.346344,273418.898611
2017-02-05,1320.360353,281443.710843,1481.018256,122500.497464,36.924093,3662.190015,170141.001125,196459.56947699998
2017-02-06,1303.156103,237811.414746,999.685061,122610.058413,70.086596,3104.009893,277093.544524,189373.540549
2017-02-07,1243.545944,258115.275906,1814.036881,122372.651169,79.859413,4612.627172,207558.907309,254210.882273
2017-02-08,1281.162263,231872.813855,1613.61493,122482.953512,62.979393,5376.198795,211225.255592,267141.934099
2017-02-09,1361.059438,262315.259494,2230.723793,122464.005419,72.190405,5828.57141,188840.586449,242145.49719700002
2017-02-10,1438.542986,231625.240842,2997.812299,122603.277772,67.985504,4591.903551,304021.685189,154490.678431
2017-02-11,1421.774808,235618.474553,2843.968253,122612.176487,63.650302,4569.659455,244574.715909,211679.23413899998
2017-02-12,1366.653679,233884.387106,2884.415079,122641.676877,188.319474,2399.144806,292575.665102,141659.270698
2017-02-13,1337.906559,283791.405706,2577.669973,122468.478071,74.989796,1235.329651,148410.610887,263336.017651
2017-02-14,1432.617269,266354.389725,2039.864028,122242.564911,100.678352,1788.137903,218092.069365,236447.954492
2017-02-15,1442.395754,262749.372791,2784.906555,122387.797112,79.651323,5863.125219,105046.118606,352143.593134
2017-02-16,1450.187627,239946.185174,2217.411636,122638.414363,75.681001,5047.933569,160668.106192,315753.429083
2017-02-17,1447.69053,246505.091492,1947.065295,122688.90342,154.725605,5547.549724,201359.17417,223501.055155
2017-02-18,1401.660908,260941.049945,1922.916911,122670.930686,68.400959,4722.786066,127877.86396,255811.07516799998
2017-02-19,1339.950071,212554.525771,2025.957419,122194.7666,148.224967,1964.167832,215300.023422,225756.91530700002
2017-02-20,1122.557101,203319.247422,2575.56134,121470.865544,42.171493,5113.459724,180498.825129,272640.84779699997
2017-02-21,1387.232468,265907.248932,3469.203826,121476.884959,132.505261,5669.24448,94038.51696,300660.346312
2017-02-22,1284.029768,244863.347299,3170.675367,121495.81499,237.737381,5596.042392,129558.417321,308307.07555300003
2017-02-23,1306.060746,218508.121967,3190.53594,121241.502991,99.105022,5392.299005,276475.442061,213225.859668
2017-02-24,1299.811195,218556.160631,3491.197613,121318.386556,73.706402,6264.151067,194475.792827,261962.657381
2017-02-25,1223.754969,216203.407621,3798.939015,121415.589966,75.617165,6597.166416,161958.29018,261898.39355799998
2017-02-26,1196.322469,244417.99816,3425.937467,122303.240739,144.285307,3971.756662,193459.754632,214996.23608799998
2017-02-27,1218.48083,247480.42559,4443.225697,122408.495272,71.705907,5157.672947,192809.221173,265773.460307
2017-02-28,1305.549387,228759.766676,4526.800418,122317.272175,202.933428,2187.084273,263906.458016,256171.028815
2017-03-01,1409.125601,231236.587686,4729.815365,122210.280641,85.982633,6439.115494,178232.910294,285903.21657700004
2017-03-02,1270.594313,227161.679383,4443.059375,122336.544913,76.714874,5062.444596,130365.77621,310300.730172
2017-03-03,1333.032987,204758.324429,4005.661747,122370.634593,80.025536,4269.508108,231609.832898,235631.491233
2017-03-04,1332.452246,177891.22721,3634.941013,122411.7453,74.823903,1030.199522,280237.653614,184628.846464
2017-03-05,1364.966283,196519.723692,4017.748921,122414.638104,44.706094,4565.133319,249619.132453,184976.10468699998
2017-03-06,1322.99667,178070.294552,4034.504053,122034.199656,67.058259,4333.174855,311197.615968,234542.30158300002
2017-03-07,1319.960287,210065.376807,3014.640728,122343.38553,71.52665,4679.68139,170328.067003,331195.916254
2017-03-08,1276.607704,207394.60001,2566.653286,122047.642985,67.86544,4907.163927,219073.100167,267182.292507
2017-03-09,1205.730221,213606.175288,2704.448936,122284.87148,119.851524,3166.47231,168629.832802,338372.433216
2017-03-10,1346.426257,228166.177851,2995.332529,122321.302751,67.67485,3797.471252,131705.982932,347463.83984499995
2017-03-11,1419.897809,231146.769653,2236.911723,122310.986362,-9.870519,4657.800759,120668.044213,293093.357906
2017-03-12,1283.052245,209121.565134,2394.803109,117248.485171,71.382904,3063.526599,130001.82326,264397.997822
2017-03-13,1378.01649,239271.173343,2568.359505,122075.369766,80.160334,3743.536203,111102.057448,319380.08478
2017-03-14,1384.759843,226305.562812,2435.034427,122342.973813,85.144249,6561.16774,154200.865404,305643.717404
2017-03-15,1390.045339,225992.714997,2128.146735,122129.362758,40.412913,5663.395104,167005.166611,265743.531637
2017-03-16,1344.69217,193142.047856,1715.875166,122319.08827,48.94143,5318.651464,294893.003092,181170.217659
2017-03-17,1337.140243,211610.779002,1854.0015,98342.315153,77.183589,6297.145486,251373.008178,253796.022069
2017-03-18,1371.717224,257381.440367,2616.345322,80413.379783,103.039757,5782.109194,158372.791672,317103.706152
