,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-12-21,394057.57797270635,177383.89742233866,532617.5625846026,394057.57797270635,394057.57797270635,-37387.36164679847,-37387.36164679847,-37387.36164679847,-837.1366326459905,-837.1366326459905,-837.1366326459905,-36550.225014152486,-36550.225014152486,-36550.225014152486,0.0,0.0,0.0,356670.21632590785
1,2013-12-22,394037.674086162,173767.8977108412,535973.2951660007,394037.674086162,394037.674086162,-39045.98778624983,-39045.98778624983,-39045.98778624983,2891.201047654778,2891.201047654778,2891.201047654778,-41937.18883390461,-41937.18883390461,-41937.18883390461,0.0,0.0,0.0,354991.68629991217
2,2013-12-23,394017.7701996176,177193.26193610707,519975.9120519845,394017.7701996176,394017.7701996176,-49781.13741927736,-49781.13741927736,-49781.13741927736,-2051.993575228759,-2051.993575228759,-2051.993575228759,-47729.143844048594,-47729.143844048594,-47729.143844048594,0.0,0.0,0.0,344236.63278034027
3,2013-12-24,393997.86631307326,170468.84308186432,518222.02709336026,393997.86631307326,393997.86631307326,-57374.889506409876,-57374.889506409876,-57374.889506409876,-3556.2153779606456,-3556.2153779606456,-3556.2153779606456,-53818.674128449224,-53818.674128449224,-53818.674128449224,0.0,0.0,0.0,336622.9768066634
4,2013-12-25,393977.9624265289,167957.6276093231,501494.7226493377,393977.9624265289,393977.9624265289,-53814.00427639247,-53814.00427639247,-53814.00427639247,6275.536517455394,6275.536517455394,6275.536517455394,-60089.54079384786,-60089.54079384786,-60089.54079384786,0.0,0.0,0.0,340163.95815013646
5,2013-12-26,393958.05853998446,169207.7746482409,495909.73314727435,393958.05853998446,393958.05853998446,-64056.23276850252,-64056.23276850252,-64056.23276850252,2363.3261343847976,2363.3261343847976,2363.3261343847976,-66419.55890288732,-66419.55890288732,-66419.55890288732,0.0,0.0,0.0,329901.82577148196
6,2013-12-27,393938.1546534401,154645.11705100635,482341.3713390884,393938.1546534401,393938.1546534401,-77768.3963966433,-77768.3963966433,-77768.3963966433,-5084.718113659426,-5084.718113659426,-5084.718113659426,-72683.67828298386,-72683.67828298386,-72683.67828298386,0.0,0.0,0.0,316169.7582567968
7,2013-12-28,393918.25076689577,135807.40752062175,486050.73948539584,393918.25076689577,393918.25076689577,-79594.3206260568,-79594.3206260568,-79594.3206260568,-837.1366326330505,-837.1366326330505,-837.1366326330505,-78757.18399342375,-78757.18399342375,-78757.18399342375,0.0,0.0,0.0,314323.93014083896
8,2013-12-29,393898.34688035137,135327.26910623204,482425.3391101072,393898.34688035137,393898.34688035137,-81627.72688345354,-81627.72688345354,-81627.72688345354,2891.2010476606447,2891.2010476606447,2891.2010476606447,-84518.92793111419,-84518.92793111419,-84518.92793111419,0.0,0.0,0.0,312270.6199968978
9,2013-12-30,393878.442993807,124063.11182370239,479775.4034667489,393878.442993807,393878.442993807,-91906.49485490243,-91906.49485490243,-91906.49485490243,-2051.9935752198776,-2051.9935752198776,-2051.9935752198776,-89854.50127968256,-89854.50127968256,-89854.50127968256,0.0,0.0,0.0,301971.9481389046
10,2013-12-31,393858.5391072626,124726.30714151429,485292.45926750044,393858.5391072626,393858.5391072626,-98215.47370445654,-98215.47370445654,-98215.47370445654,-3556.215377955642,-3556.215377955642,-3556.215377955642,-94659.2583265009,-94659.2583265009,-94659.2583265009,0.0,0.0,0.0,295643.0654028061
11,2014-01-01,393838.6352207182,127060.87047069627,470673.2393309002,393838.6352207182,393838.6352207182,-92565.56906522157,-92565.56906522157,-92565.56906522157,6275.536517450848,6275.536517450848,6275.536517450848,-98841.10558267243,-98841.10558267243,-98841.10558267243,0.0,0.0,0.0,301273.06615549664
12,2014-01-02,393818.7313341739,107120.03570005202,466640.744188499,393818.7313341739,393818.7313341739,-99959.64992766728,-99959.64992766728,-99959.64992766728,2363.326134379,2363.326134379,2363.326134379,-102322.97606204628,-102322.97606204628,-102322.97606204628,0.0,0.0,0.0,293859.0814065066
13,2014-01-03,393798.82744762953,100913.71785354314,457230.0671687322,393798.82744762953,393798.82744762953,-110129.634964349,-110129.634964349,-110129.634964349,-5084.718113657092,-5084.718113657092,-5084.718113657092,-105044.91685069192,-105044.91685069192,-105044.91685069192,0.0,0.0,0.0,283669.19248328055
14,2014-01-04,393778.9235610851,112380.85159336211,464555.3773929429,393778.9235610851,393778.9235610851,-107802.86513773547,-107802.86513773547,-107802.86513773547,-837.1366326480725,-837.1366326480725,-837.1366326480725,-106965.72850508739,-106965.72850508739,-106965.72850508739,0.0,0.0,0.0,285976.05842334963
15,2014-01-05,393759.01967454073,110494.51561646456,463135.5625531826,393759.01967454073,393759.01967454073,-105172.90601765936,-105172.90601765936,-105172.90601765936,2891.2010476582245,2891.2010476582245,2891.2010476582245,-108064.1070653176,-108064.1070653176,-108064.1070653176,0.0,0.0,0.0,288586.1136568814
