Date,Temp
1/1/11,45
2/1/11,48.7
3/1/11,61.8
4/1/11,70.3
5/1/11,74.1
6/1/11,85.2
7/1/11,87
8/1/11,88.2
9/1/11,77.9
10/1/11,66.9
11/1/11,56.9
12/1/11,46.1
1/1/12,50.4
2/1/12,51.8
3/1/12,63.2
4/1/12,70.2
5/1/12,75.5
6/1/12,82.4
7/1/12,83.4
8/1/12,83.7
9/1/12,76.6
10/1/12,65.9
11/1/12,59
12/1/12,51.1
1/1/13,47.9
2/1/13,51.7
3/1/13,57.2
4/1/13,63
5/1/13,72.5
6/1/13,81.8
7/1/13,81.3
8/1/13,83.3
9/1/13,78.2
10/1/13,66.7
11/1/13,52.9
12/1/13,44.8
1/1/14,44.5
2/1/14,48.4
3/1/14,54.8
4/1/14,65.4
5/1/14,72
6/1/14,80.6
7/1/14,81.7
8/1/14,82.6
9/1/14,76.4
10/1/14,69.6
11/1/14,51.5
12/1/14,50.7
1/1/15,44
2/1/15,48.2
3/1/15,56.2
4/1/15,66.6
5/1/15,71.6
6/1/15,79.3
7/1/15,83.2
8/1/15,83.3
9/1/15,79.2
10/1/15,69.2
11/1/15,57.3
12/1/15,51.5
1/1/16,46.4
2/1/16,54.4
3/1/16,61.2
4/1/16,66.1
5/1/16,71.6
6/1/16,80.1
7/1/16,85.4
8/1/16,81.5
9/1/16,77.6
10/1/16,70.9
11/1/16,61
12/1/16,49.6
1/1/17,50.8
2/1/17,58.4
3/1/17,63.6
4/1/17,67.1
5/1/17,72
6/1/17,80.6
7/1/17,83.6
8/1/17,80.6
9/1/17,76.5
10/1/17,66.5
11/1/17,60.3
12/1/17,47.8
1/1/18,43.8
2/1/18,52.3
3/1/18,61.7
4/1/18,63
5/1/18,78
6/1/18,83.9
7/1/18,84.5
8/1/18,83
9/1/18,76.2
10/1/18,65.4
11/1/18,51.9
12/1/18,48.3
1/1/19,47.2
2/1/19,51.9
3/1/19,55.7
4/1/19,65
5/1/19,72.5
6/1/19,79.1
7/1/19,82.8
8/1/19,85.9
9/1/19,81.5
10/1/19,65.2
11/1/19,53.2
12/1/19,50.7
1/1/20,50.7
2/1/20,49.4
3/1/20,63.2
4/1/20,65
5/1/20,74.5
6/1/20,80.6
7/1/20,85.2
8/1/20,84.3
9/1/20,74
10/1/20,65.9
11/1/20,60.6
12/1/20,48.4
